,County Code,District Code,School Code,School Name,Charter School,DASS,ChronicAbsenteeismRate
1796,36,75044.0,0119115,Oak Hills High,No ,No ,37.6
1797,36,75044.0,3630407,Hesperia High,No ,No ,40.8
1798,36,75044.0,3630746,Sultana High,No ,No ,27.9
1809,36,75051.0,3630563,Lucerne Valley High,No ,No ,32.8
1810,36,75051.0,0136432,Alta Vista Innovation High,Yes,Yes,71.8
1812,36,75069.0,3637584,Upland High,No ,No ,19.8
1814,36,75077.0,3630423,Apple Valley High,No ,No ,29.9
1815,36,75077.0,3630894,Granite Hills High,No ,No ,38.1
1821,37,10371.0,0115998,San Pasqual Academy,No ,Yes,43.2
1828,37,67983.0,3730447,Borrego Springs High,No ,No ,27.3
1829,37,67983.0,0134890,San Diego Workforce Innovation High,Yes,Yes,59.4
1834,37,68031.0,3731478,Coronado High,No ,No ,12.7
1838,37,68106.0,0111195,Classical Academy High,Yes,No ,2.6
1839,37,68106.0,0127241,Del Lago Academy - Campus of Applied Science,No ,No ,14.6
1840,37,68106.0,3730058,San Pasqual High,No ,No ,18.8
1841,37,68106.0,3731023,Escondido Charter High,Yes,No ,5.1
1842,37,68106.0,3732062,Escondido High,No ,No ,23.2
1843,37,68106.0,3735313,Orange Glen High,No ,No ,25.5
1846,37,68122.0,3730967,Oasis High (Alternative),No ,No ,9.7
1847,37,68122.0,3732179,Fallbrook High,No ,No ,26.4
1849,37,68130.0,0132548,IDEA Center,No ,No ,50.3
1851,37,68130.0,3730066,Valhalla High,No ,No ,22.8
1852,37,68130.0,3730702,West Hills High,No ,No ,18.2
1853,37,68130.0,3731262,Steele Canyon High,Yes,No ,15.0
1855,37,68130.0,3731692,El Cajon Valley High,No ,No ,29.2
1856,37,68130.0,3731809,El Capitan High,No ,No ,24.9
1857,37,68130.0,3732336,Granite Hills High,No ,No ,24.7
1858,37,68130.0,3732625,Grossmont High,No ,No ,21.6
1859,37,68130.0,3732732,Helix High,Yes,No ,5.3
1860,37,68130.0,3734548,Monte Vista High,No ,No ,31.4
1861,37,68130.0,3734761,Mount Miguel High,No ,No ,31.4
1863,37,68130.0,0128793,MERIT Academy,No ,Yes,45.2
1865,37,68130.0,3731486,Elite Academy,No ,Yes,64.7
1873,37,68171.0,3733219,Julian High,No ,No ,32.5
1879,37,68213.0,3734878,Mountain Empire High,No ,No ,43.8
1880,37,68213.0,0123224,San Diego Virtual,Yes,Yes,12.4
1883,37,68296.0,0118935,Del Norte High,No ,No ,9.3
1885,37,68296.0,3730074,Mt. Carmel High,No ,No ,12.9
1886,37,68296.0,3730819,Rancho Bernardo High,No ,No ,14.5
1887,37,68296.0,3731528,Westview High,No ,No ,9.6
1888,37,68296.0,3735867,Poway High,No ,No ,16.7
1892,37,68304.0,3735974,Ramona High,No ,No ,25.3
1895,37,68338.0,0106732,High Tech High International,Yes,No ,15.0
1897,37,68338.0,0107078,Kearny Digital Media & Design,No ,No ,15.0
1898,37,68338.0,0107086,Kearny School of Biomedical Science and Technology,No ,No ,9.0
1899,37,68338.0,0107094,Kearny College Connections,No ,No ,12.9
1900,37,68338.0,0107102,Kearny Eng Innov & Design,No ,No ,10.6
1901,37,68338.0,0107177,Crawford High,No ,No ,23.6
1902,37,68338.0,0107219,San Diego High,No ,No ,28.3
1903,37,68338.0,0107482,San Diego Metro Career and Tech,No ,No ,0.8
1904,37,68338.0,0108787,High Tech High Media Arts,Yes,No ,31.7
1905,37,68338.0,0114025,Lincoln High,No ,No ,33.1
1906,37,68338.0,0114462,Health Sciences High and Middle College,Yes,No ,33.6
