,SchoolCode,TOTAL_EL
595,1930981,70
596,1931047,288
597,1931088,61
598,1931187,379
599,1931237,69
600,1931302,230
601,1931336,3
602,1931385,12
603,1931393,6
604,1931435,14
605,1931450,10
606,1931476,283
607,1931484,20
608,1931492,123
609,1931500,38
610,1931518,3
611,1931526,60
612,1931534,24
613,1931559,11
614,1931567,169
615,1931641,43
616,1931666,75
617,1931682,8
618,1931690,18
619,1931708,175
620,1931732,77
621,1931740,33
622,1931781,22
623,1931823,69
624,1931856,1
625,1931864,290
626,1931930,7
627,1931955,7
628,1931963,249
629,1931971,14
630,1931989,1
631,1931997,5
632,1932086,78
633,1932128,92
634,1932144,99
635,1932201,114
636,1932250,7
637,1932326,288
638,1932334,14
639,1932342,12
640,1932383,161
641,1932441,357
642,1932482,108
643,1932623,78
644,1932664,293
645,1932680,321
646,1932706,145
647,1932763,8
648,1932821,2
649,1932862,189
650,1932888,21
651,1932920,153
652,1932987,234
653,1933001,30
654,1933118,353
655,1933159,121
656,1933175,177
657,1933241,130
658,1933324,329
659,1933373,8
660,1933381,129
661,1933399,3
662,1933530,566
663,1933597,91
664,1933647,146
665,1933795,353
666,1933852,111
667,1933902,181
668,1933951,359
669,1934033,104
670,1934082,456
671,1934157,259
672,1934231,156
673,1934371,172
674,1934454,156
675,1934470,460
676,1934553,422
677,1934678,200
678,1934728,74
679,1934801,135
680,1934868,137
681,1934926,151
682,1935048,326
683,1935121,90
684,1935246,134
685,1935352,213
686,1935436,372
687,1935519,273
688,1935568,120
689,1935758,145
690,1935808,26
691,1935865,461
692,1935923,83
693,1935998,400
694,1936103,80
695,1936160,124
696,1936228,279
697,1936277,139
698,1936350,168
699,1936418,84
700,1936467,225
701,1936624,336
702,1936749,471
703,1936822,61
704,1936889,118
705,1936947,516
706,1937028,186
707,1937051,126
708,1937085,2
709,1937143,55
710,1937424,245
711,1937481,241
712,1937564,343
713,1937622,222
714,1937697,382
715,1937739,39
716,1937754,32
717,1937838,107
718,1937903,120
719,1938000,76
720,1938166,93
721,1938307,180
722,1938356,123
723,1938372,64
724,1938455,58
725,1938554,178
726,1938612,120
727,1938679,230
728,1938752,161
729,1938885,99
730,1938968,364
731,1939040,88
732,1939107,129
733,1939149,180
734,1939164,271
735,1939305,141
736,1939479,11
737,1939537,71
738,1939602,144
739,1939677,9
740,1939701,140
741,1939834,152
742,1939859,118
743,1939875,360
744,1939925,144
745,1939941,95
746,1995398,226
747,1995406,279
748,1995448,41
749,1995539,3
750,1995588,76
751,1995596,3
752,1995653,19
753,1995661,253
754,1995695,72
755,1995737,17
756,1995786,29
757,1995794,4
758,1995802,19
759,1995810,248
760,1995836,38
761,1995844,157
762,1995869,6
763,1995877,1
764,1995901,130
765,1995935,395
766,1995968,2
767,1996057,11
768,1996073,50
769,1996123,13
770,1996131,17
771,1996313,92
772,1996438,18
773,1996479,25
774,1996495,32
775,1996503,15
776,1996529,12
777,1996537,77
778,1996552,34
779,1996560,3
780,1996586,50
781,2030013,38
782,2030104,2
783,2030203,36
784,2030237,1
785,2032357,142
786,2035707,269
787,2130078,1
788,2131340,34
789,2132272,191
790,2132587,31
791,2133056,79
792,2133262,441
793,2133692,20
794,2134005,226
795,2134310,27
796,2235356,18
797,2330033,2
798,2330041,10
799,2331361,72
800,2332260,6
801,2333185,2
802,2333649,12
803,2334563,26
804,2335024,224
805,2335487,32
806,2430015,11
