,School Code,STU_TCH_RATIO
464,1931047,22.6
465,1931336,12.5
466,1931385,14.3
467,1931393,18.3
468,1931435,18.5
469,1931450,14.3
470,1931476,17.7
471,1931484,21.2
472,1931500,15.8
473,1931518,12.3
474,1931526,18.8
475,1931534,15.1
476,1931559,11.7
477,1931682,15.4
478,1931690,18.7
479,1931708,21.3
480,1931856,15
481,1931864,22.7
482,1931930,16
483,1931955,14.3
484,1931971,21.8
485,1931989,10.7
486,1931997,20
487,1932128,13.7
488,1932250,14.7
489,1932334,18
490,1932342,16.8
491,1932383,18.3
492,1932623,26.1
493,1932821,11.3
494,1932888,18.2
495,1932920,17.8
496,1932987,19
497,1933001,19.7
498,1933118,19.1
499,1933241,17.5
500,1933381,17.6
501,1933795,20.2
502,1933852,17.6
503,1934033,16.1
504,1934157,18.7
505,1934371,15.9
506,1934454,16.1
507,1935121,16
508,1935352,15.8
509,1935519,16.1
510,1935568,19.3
511,1935865,16.5
512,1936160,19.2
513,1936350,20.5
514,1937085,6.5
515,1937424,19.3
516,1937622,18.7
517,1937838,20.5
518,1938307,18.7
519,1938554,19.1
520,1938612,21.9
521,1938885,18.8
522,1938968,19.1
523,1939040,21.3
524,1939107,17.2
525,1939305,15.4
526,1939479,15.1
527,1939859,15.2
528,1939941,20.3
529,1995448,20.6
530,1995794,10.2
531,1995836,24.5
532,1996073,14
533,0109538,24.3
534,1935436,22.5
535,1935923,24.9
536,0124552,12.1
537,1930155,19.9
538,1930825,19.2
539,1935998,19.4
540,1933647,18.3
541,1934728,23.4
542,1936467,23.8
543,0140889,21.1
544,1995588,22.2
545,1996552,22.8
546,0136705,16.7
547,1936749,19.6
548,1936103,21.7
549,1936822,18.4
550,1933175,20
551,1933324,21
552,1937028,17.8
553,1995901,22.6
554,1996495,15.4
555,1937754,20.5
556,1933373,7.6
557,1938000,19.9
558,1995737,14.4
559,1938455,24.1
560,1938679,23.5
561,1936277,26.5
562,1938356,23.6
563,1938752,25.1
564,1939602,24.8
565,0122432,16.3
566,0137042,21.9
567,1939537,21.4
568,1931302,22.2
569,1934868,26
570,1936889,18.7
571,1937903,24.2
572,1939701,21.4
573,1995653,21.8
574,0102459,22.5
575,0102475,24.4
576,1931492,24.3
577,1931740,24.5
578,1933902,23.7
579,1995802,23.3
580,1996321,29.5
581,0132969,30.9
582,1931567,20.4
583,1931963,26.1
584,1932326,22.1
585,1995695,17.6
586,1996057,17
587,1934801,20.6
588,1935246,22
589,1939834,23.9
590,1939925,18.9
591,1996560,6.5
