,SchoolCode,Met UC/CSU Grad Req's (Rate),Dropout (Rate)
78072,0127381,82.9,3.9
78089,0131938,0.0,66.7
78106,0132324,88.9,1.6
78123,0135525,41.8,1.8
78157,1934470,40.2,10.9
78175,1934678,48.2,5.3
78194,1935758,75.5,4.0
78212,1936947,55.8,8.4
78247,1939875,60.3,12.5
78264,1995539,100.0,1.2
78301,1995935,51.0,11.8
78317,1996503,69.9,2.4
78350,0100677,100.0,3.8
78366,0100750,98.3,0.0
78383,0100800,67.8,2.9
78399,0101196,100.0,4.7
78432,0101659,100.0,0.0
78448,0101675,76.3,2.9
78499,0102434,62.5,5.2
78547,0102913,98.7,0.0
78561,0102921,100.0,0.0
78592,0106831,57.3,5.5
78610,0106849,95.7,0.7
78644,0106997,92.1,0.0
78661,0107003,59.5,1.4
78695,0107755,41.3,2.3
78713,0108878,75.8,5.3
78729,0108894,97.9,0.7
78762,0108936,100.0,0.7
78780,0109447,63.8,7.7
78798,0109454,62.7,4.4
78816,0109462,58.6,9.7
78834,0109512,26.3,25.9
78867,0110668,5.9,25.8
78883,0111484,100.0,12.0
78900,0111492,95.2,0.7
78916,0111500,97.5,5.5
78933,0111575,77.4,2.8
78949,0111583,97.0,3.6
78966,0111625,79.0,1.6
79000,0111658,96.7,0.8
79017,0112029,72.4,21.1
79034,0112037,74.8,10.9
79051,0112045,71.8,3.6
79069,0112052,72.2,9.0
79085,0112508,96.5,2.4
79102,0112870,51.4,30.2
79120,0114850,69.7,14.2
79137,0115253,97.7,0.0
79154,0116509,98.0,7.1
79186,0117051,91.0,4.4
79203,0117069,46.3,24.8
79221,0117598,98.0,7.3
79237,0117606,92.0,2.2
79271,0117721,70.6,13.5
79288,0117747,77.3,8.5
79305,0117762,89.1,5.9
79322,0117911,100.0,3.4
79339,0118588,46.3,12.7
79390,0119727,73.1,3.5
79407,0119966,60.9,10.0
79440,0120360,80.4,1.9
79457,0120808,36.4,31.8
79490,0121285,97.4,2.5
79524,0122333,82.9,0.0
79540,0122341,63.9,3.3
79558,0122358,43.9,4.6
79574,0122366,68.3,6.5
79591,0122374,65.4,8.1
79607,0122382,56.7,9.1
79633,0122606,89.9,1.8
79665,0123133,94.2,2.8
79681,0123141,98.2,1.8
79698,0124362,77.9,1.0
79715,0124370,87.5,0.0
79732,0124388,95.4,2.2
79749,0124396,86.1,7.3
79766,0124404,96.5,3.4
79800,0124479,64.6,21.5
79818,0124487,73.1,4.4
79835,0124495,93.8,4.0
79853,0124503,85.4,7.6
79870,0124511,74.6,11.6
79921,0124891,89.3,3.9
79936,0124933,94.2,3.5
79952,0124941,100.0,1.8
79968,0125864,100.0,1.7
79985,0125989,99.3,0.7
80002,0126136,99.2,0.0
80020,0126482,63.7,22.1
80037,0126516,85.6,1.2
80055,0126524,79.6,3.9
80072,0126532,62.8,7.1
80090,0126540,55.6,3.2
80107,0126557,56.6,6.6
80124,0126573,58.6,11.3
80141,0126615,69.6,0.0
80157,0126623,60.4,1.0
80173,0127787,55.0,1.2
80190,0127795,72.4,32.5
80207,0127803,100.0,0.0
80224,0127894,100.0,0.0
80241,0127910,100.0,5.7
80258,0129536,70.0,7.1
80275,0129585,71.0,6.1
80293,0129627,100.0,7.1
80309,0130997,88.1,0.0
80325,0131821,97.8,8.2
80341,0132027,99.1,2.6
80373,0132126,78.2,3.5
80390,0132282,100.0,4.4
80482,0133868,98.1,4.4
80498,0135632,87.3,0.0
80531,0135715,100.0,0.0
80547,0135723,99.2,0.8
80597,0137083,75.8,2.9
80613,0137091,79.2,0.0
80631,0137562,60.0,15.0
80646,0137612,88.2,1.4
80680,0140129,98.8,4.4
80795,0141630,*,*
80829,1930296,12.3,10.5
80847,1930387,15.2,45.0
80864,1930403,25.0,40.0
80879,1930429,0.0,41.7
80896,1930486,21.7,26.2
80913,1930551,8.3,63.2
80929,1930577,0.0,15.9
80945,1930619,50.0,75.0
80962,1930650,67.5,4.3
80976,1930692,12.5,41.2
80994,1930734,38.5,14.8
81027,1930791,34.6,8.6
81045,1930866,60.1,4.0
81062,1930924,82.2,45.1
81078,1930940,33.3,22.2
81096,1930973,2.9,18.8
81114,1931047,95.1,2.2
81131,1931336,3.7,5.3
81163,1931385,14.9,12.5
81180,1931393,29.2,15.8
81196,1931435,10.0,18.4
81212,1931450,25.0,14.3
81246,1931476,61.3,5.3
81264,1931484,22.0,3.9
81280,1931500,40.9,5.1
81297,1931518,17.6,13.6
81315,1931526,68.4,3.3
81332,1931534,9.5,27.4
81349,1931559,14.7,6.3
81380,1931682,26.1,13.3
81397,1931690,30.4,19.1
81415,1931708,61.7,3.3
81447,1931856,7.4,12.5
81464,1931864,69.7,7.2
81480,1931930,0.0,9.7
81497,1931955,14.3,48.3
81515,1931971,3.1,23.3
81531,1931989,6.7,8.8
81549,1931997,11.1,28.8
81566,1932128,53.0,13.9
81582,1932250,33.3,15.4
81615,1932334,30.2,31.0
81632,1932342,19.6,8.3
81650,1932383,61.3,14.7
81685,1932623,51.3,2.1
81702,1932821,19.0,23.3
81735,1932888,87.6,2.3
81753,1932920,53.1,6.7
81770,1932987,79.7,7.7
81787,1933001,85.7,0.0
81822,1933118,66.5,15.1
81855,1933241,72.7,3.4
81873,1933381,76.4,0.6
81908,1933795,73.7,6.9
81927,1933852,62.2,4.4
81945,1934033,68.9,4.7
81963,1934157,72.0,7.4
81981,1934371,66.7,12.2
81998,1934454,57.8,11.3
82015,1935121,70.3,4.2
82032,1935352,61.0,6.9
82049,1935519,67.6,17.6
82066,1935568,70.6,2.8
82100,1935865,64.5,13.4
82117,1936160,82.3,1.3
82135,1936350,73.2,3.1
82150,1937085,*,*
82186,1937424,67.3,4.8
82204,1937622,59.7,3.4
82221,1937838,74.6,1.9
82239,1938307,59.3,7.4
82257,1938554,59.6,6.3
82274,1938612,79.2,1.8
82291,1938885,63.1,4.0
82309,1938968,62.7,5.8
82327,1939040,77.0,2.2
82344,1939107,71.3,3.7
82362,1939305,69.5,18.1
82380,1939479,77.2,0.6
82414,1939859,75.2,2.0
82431,1939941,65.6,2.1
82449,1995448,81.0,0.5
82466,1995794,35.3,17.9
82483,1995836,99.7,3.3
82501,1996073,31.6,38.2
82805,0109538,53.5,7.5
82841,1935436,52.2,7.7
82875,1935923,53.6,1.3
82920,0124552,68.3,1.2
82938,1930155,37.1,3.1
82955,1930825,21.9,5.0
82973,1935998,30.5,7.7
83022,1933647,57.4,4.5
83040,1934728,57.4,1.1
83058,1936467,55.8,1.8
83132,0140889,64.1,4.6
83206,1995588,87.9,0.5
83222,1996552,86.8,0.3
83251,0136705,72.5,0.0
83269,1936749,48.6,5.9
83428,1936103,54.7,1.9
83463,1936822,56.2,4.6
83514,1933175,40.9,2.6
83532,1933324,46.3,4.3
83566,1937028,34.9,5.1
83583,1995901,53.3,1.1
83599,1996495,40.4,1.1
83659,1937754,85.7,1.0
83687,1933373,20.0,13.0
83705,1938000,64.7,1.0
83721,1995737,48.4,6.2
83753,1938455,78.6,2.3
83782,1938679,75.4,2.6
83878,1936277,60.2,0.2
83912,1938356,75.1,0.0
83929,1938752,72.0,0.4
83946,1939602,71.9,0.4
83994,0122432,48.8,2.3
84011,0137042,80.8,1.3
84047,1939537,46.5,0.7
84099,1931302,66.0,1.4
84115,1934868,65.4,1.1
84132,1936889,75.6,1.6
84149,1937903,63.1,1.0
84166,1939701,57.9,1.3
84183,1995653,16.6,7.3
84214,0102459,19.9,2.9
84230,0102475,74.4,0.7
84299,1931492,31.6,1.4
84316,1931740,27.7,1.8
84350,1933902,53.3,1.9
84384,1995802,27.2,5.4
84417,1996321,95.8,2.0
84477,0132969,100.0,0.0
84511,1931567,75.5,3.1
