,SchoolCode,School Name,Charter School,DASS,ChronicAbsenteeismRate,College Going Rate - Total (12 Months),TOTAL_EL,Percent Eligible FRPM,School Type,Educational Option Type,Met UC/CSU Grad Req's (Rate),Dropout (Rate),Homeless Student Enrollment (Rate),SPED_ENR_N,Stability Rate (percent),CumulativeEnrollment,Total Expulsions,Total Suspensions,STU_TCH_RATIO,Percentage Standard Met and Above,Students Tested with Scores (Rate)
23,135905,Oakland High,No ,No ,25.4,75.7,334,0.902469917669411,High Schools (Public),Traditional,66.8,17.5,0.068550811785929,233,89.8,1663,1,66,18.4,20.24,0.9307479224376732
24,136051,Oakland Technical High,No ,No ,24.3,79.5,120,0.7019867549668874,High Schools (Public),Traditional,79.9,4.0,0.0452393477117306,286,90.4,1901,1,120,17.4,,
25,137943,Skyline High,No ,No ,41.8,73.6,188,0.76,High Schools (Public),Traditional,71.0,6.1,0.060672514619883,226,84.3,1368,2,65,14.5,32.11,0.8482758620689655
30,136515,Piedmont High,No ,No ,4.5,89.8,6,0.0354706684856753,High Schools (Public),Traditional,93.1,1.4,0.0081081081081081,80,97.3,740,0,0,17.9,78.4,0.9310344827586208
32,137588,San Leandro High,No ,No ,19.2,67.9,394,0.7533864541832669,High Schools (Public),Traditional,48.7,3.6,0.0142910868747649,363,89.7,2659,2,214,21.7,23.64,0.9306260575296108
34,130849,Arroyo High,No ,No ,14.7,70.7,199,0.6457638425617078,High Schools (Public),Traditional,47.7,6.4,0.0090968161143599,179,95.2,1539,0,80,24.5,28.85,0.8425414364640884
35,137810,San Lorenzo High,No ,No ,29.4,52.8,395,0.815354713313897,High Schools (Public),Traditional,34.4,10.4,0.0079858030168589,151,85.4,1127,0,108,20.3,16.8,0.9644268774703556
36,132704,Dublin High,No ,No ,13.3,88.4,42,0.1692529772645254,High Schools (Public),Traditional,82.3,1.0,0.002840909090909,196,96.5,2816,0,73,23.1,64.76,0.9640044994375704
37,130096,Foothill High,No ,No ,9.2,89.1,45,0.0885200553250345,High Schools (Public),Traditional,83.1,2.1,0.0063091482649842,151,96.3,2219,0,52,22.3,55.47,0.9438405797101448
38,130583,Amador Valley High,No ,No ,6.7,89.5,80,0.0824622531939605,High Schools (Public),Traditional,80.7,1.4,0.0095675468809797,172,97.1,2613,1,49,23.4,52.62,0.9456
40,330753,Amador High,No ,No ,28.1,54.4,14,0.3430894308943089,High Schools (Public),Traditional,27.2,0.7,0.0433482810164424,92,86.5,669,0,83,21.3,36.24,0.8975903614457831
41,334755,Argonaut High,No ,No ,31.2,58.8,9,0.3440134907251265,High Schools (Public),Traditional,32.5,1.6,0.0239234449760765,127,86.1,627,1,65,19.1,26.42,0.9636363636363636
42,430827,Biggs High,No ,No ,18.3,46.7,8,0.639751552795031,High Schools (Public),Traditional,26.5,5.6,0.0809248554913294,24,91.3,173,0,4,12.5,17.95,1.0
43,431676,Chico High,No ,No ,20.2,82.1,102,0.5681818181818182,High Schools (Public),Traditional,45.1,5.3,0.0790722192936215,263,86.9,1897,10,117,22.5,49.26,0.9783132530120482
44,437558,Pleasant Valley High,No ,No ,16.6,80.4,52,0.4630940343781597,High Schools (Public),Traditional,43.9,4.9,0.0454545454545454,267,90.4,2068,6,56,22.6,44.12,0.973747016706444
46,433201,Durham High,No ,No ,17.3,71.0,12,0.3875,High Schools (Public),Traditional,47.8,0.0,0.0122324159021406,35,95.1,327,0,15,16,37.5,0.9523809523809524
47,434803,Las Plumas High,No ,No ,25.9,53.6,49,0.7454545454545455,High Schools (Public),Traditional,16.6,7.4,0.029585798816568,187,85.4,1352,2,114,19.6,27.45,0.9239130434782608
48,435602,Oroville High,No ,No ,31.3,50.5,62,0.8176605504587156,High Schools (Public),Traditional,22.0,7.7,0.0536842105263157,157,78.4,950,2,36,19.6,29.56,0.8932584269662921
49,437350,Paradise Senior High,No ,No ,29.8,62.3,7,0.498989898989899,High Schools (Public),Traditional,19.8,3.3,0.0766355140186915,85,80.2,535,0,94,18.7,,0.9090909090909092
50,433953,Gridley High,No ,No ,16.5,78.4,20,0.7059701492537314,High Schools (Public),Traditional,47.1,3.4,0.0313837375178316,85,93.9,701,1,64,19.5,47.37,1.0
51,532507,Bret Harte Union High,No ,No ,16.0,68.0,19,0.4150268336314848,High Schools (Public),Traditional,39.7,2.4,0.0104712041884816,82,90.7,573,0,77,16.8,29.46,0.9739130434782608
52,631259,Colusa High,No ,No ,14.1,68.8,41,0.6612529002320185,High Schools (Public),Traditional,29.4,0.9,0.037037037037037,42,87.6,459,1,13,20.2,14.15,0.9814814814814816
53,635250,Pierce High,No ,No ,10.5,55.1,61,0.7602591792656588,High Schools (Public),Traditional,44.1,0.0,0.048728813559322,54,93.9,472,0,34,17.5,47.5,0.9917355371900828
54,731380,Clayton Valley Charter High,Yes,No ,0.1,84.8,115,0.2233459755583649,High Schools (Public),Traditional,97.8,3.3,0.0020610057708161,207,94.8,2426,0,72,25.2,36.92,0.9694244604316546
56,730283,Acalanes High,No ,No ,10.6,91.8,31,0.0732484076433121,High Schools (Public),Traditional,82.3,0.6,0.0039215686274509,185,96.9,1275,0,32,19.5,61.27,0.9759450171821306
57,731125,Campolindo High,No ,No ,9.8,89.8,16,0.0544776119402985,High Schools (Public),Traditional,81.6,0.9,0.0007380073800738,178,97.9,1355,0,28,19.8,65.64,0.9367816091954024
58,733725,Las Lomas High,No ,No ,14.5,88.2,114,0.1540900443880786,High Schools (Public),Traditional,78.9,1.6,0.0012422360248447,182,96.0,1610,0,50,19.5,58.12,0.9820051413881749
59,734244,Miramonte High,No ,No ,8.2,91.6,12,0.0462724935732647,High Schools (Public),Traditional,89.9,0.0,0.0025359256128486,125,97.8,1183,0,22,18.9,80.76,0.9448051948051948
61,730465,Deer Valley High,No ,No ,36.6,63.5,229,0.82560706401766,High Schools (Public),Traditional,23.9,9.1,0.0134163871586008,359,76.6,2087,0,162,23.2,21.94,0.9655172413793104
62,730861,Antioch High,No ,No ,34.6,54.7,424,0.902027027027027,High Schools (Public),Traditional,23.3,12.2,0.022716049382716,322,74.5,2025,0,264,20.9,10.51,0.9565217391304348
63,737023,John Swett High,No ,No ,23.5,58.9,44,0.7407407407407407,High Schools (Public),Traditional,57.4,8.0,0.086021505376344,49,89.0,372,2,15,18.5,27.47,0.9680851063829788
64,107797,Heritage High,No ,No ,16.6,77.9,104,0.1944660950896336,High Schools (Public),Traditional,64.1,0.8,0.0207792207792207,311,93.6,2695,6,65,22.3,50.41,0.982484076433121
65,730457,Freedom High,No ,No ,25.1,63.5,177,0.3930894308943089,High Schools (Public),Traditional,52.0,2.6,0.048331415420023,376,90.3,2607,3,209,21.8,25.29,0.9494584837545126
66,733980,Liberty High,No ,No ,19.8,69.1,183,0.3568406205923836,High Schools (Public),Traditional,52.4,1.1,0.0291130670277589,509,92.3,2954,8,154,21.8,36.44,0.9814241486068112
68,730549,Alhambra Senior High,No ,No ,12.6,70.4,41,0.3073929961089494,High Schools (Public),Traditional,50.0,0.8,0.0268767377201112,183,89.5,1079,4,64,21.2,44.91,0.9557522123893806
69,730044,Northgate High,No ,No ,13.0,88.5,27,0.2238033635187581,High Schools (Public),Traditional,66.6,1.3,0.0018796992481203,153,94.4,1596,0,36,23.1,53.67,0.975206611570248
70,731646,College Park High,No ,No ,20.1,80.8,164,0.4050308008213552,High Schools (Public),Traditional,50.1,4.4,0.0044226044226044,215,91.1,2035,0,131,22.9,35.35,0.9675324675324676
71,731836,Concord High,No ,No ,25.3,64.6,215,0.6956904133685137,High Schools (Public),Traditional,36.1,6.6,0.0165876777251184,221,85.2,1266,0,39,19.6,17.17,0.9748953974895398
72,734566,Mt. Diablo High,No ,No ,33.8,56.7,493,0.800286327845383,High Schools (Public),Traditional,24.5,6.9,0.031875,246,78.4,1600,0,159,19.9,12.06,0.9306930693069309
73,737809,Ygnacio Valley High,No ,No ,37.0,59.8,353,0.8149197355996223,High Schools (Public),Traditional,22.2,5.6,0.022707423580786,158,84.5,1145,0,118,19,13.55,0.98046875
74,735407,Pittsburg Senior High,No ,No ,35.2,63.3,599,0.7925359976491331,High Schools (Public),Traditional,39.2,7.0,0.0740944017563117,395,85.2,3644,3,270,21.5,22.21,0.9694267515923568
75,101477,Leadership Public Schools: Richmond,Yes,No ,5.5,62.6,137,0.6538461538461539,High Schools (Public),Traditional,94.3,2.3,0.0051457975986277,43,91.2,583,0,17,19.5,9.71,0.7862595419847328
76,730291,Middle College High,No ,No ,2.7,94.4,2,0.6496598639455783,High Schools (Public),Traditional,100.0,0.0,0.0034013605442176,2,98.3,294,0,0,30.6,62.32,1.0
77,730598,Hercules High,No ,No ,20.1,78.7,53,0.4172099087353325,High Schools (Public),Traditional,75.8,1.2,0.014723926380368,90,89.6,815,0,57,23.4,41.76,0.9732620320855616
78,732164,De Anza High,No ,No ,30.4,61.1,263,0.8605539637058262,High Schools (Public),Traditional,36.5,4.8,0.0232766338406445,187,88.9,1117,0,73,22.6,15.21,0.8714859437751004
79,732941,El Cerrito High,No ,No ,19.8,76.0,141,0.3897260273972602,High Schools (Public),Traditional,56.6,1.8,0.0190413657255416,196,92.3,1523,0,51,23.4,32.15,0.9120234604105572
80,733659,John F. Kennedy High,No ,No ,49.7,42.1,324,0.5986486486486486,High Schools (Public),Traditional,22.6,13.4,0.0566473988439306,94,75.7,865,3,165,18.9,1.77,0.7151898734177216
81,735316,Pinole Valley High,No ,No ,18.2,74.3,184,0.6184738955823293,High Schools (Public),Traditional,53.2,2.6,0.0315078769692423,186,87.4,1333,1,129,24.3,,0.0
82,735902,Richmond High,No ,No ,39.2,49.0,540,0.96796875,High Schools (Public),Traditional,31.6,12.6,0.0497547302032235,176,83.0,1427,0,411,22.1,18.09,0.9681528662420382
84,833004,Del Norte High,No ,No ,20.8,61.0,51,0.5871459694989106,High Schools (Public),Traditional,23.0,3.4,0.0611620795107033,142,82.2,981,0,54,19.1,31.74,0.943502824858757
86,930081,Oak Ridge High,No ,No ,10.0,86.7,20,0.0946291560102301,High Schools (Public),Traditional,73.7,0.5,0.0096557514693534,222,96.9,2382,2,58,25.5,62.97,0.9654576856649396
87,930164,Union Mine High,No ,No ,19.5,59.2,55,0.3727008712487899,High Schools (Public),Traditional,48.3,0.8,0.0510204081632653,196,90.1,1078,1,148,21.2,33.33,0.957983193277311
88,930214,Pacific Crest Academy,Yes,No ,4.9,60.0,1,0.2136752136752136,High Schools (Public),Traditional,55.6,0.0,0.015625,23,84.8,128,0,1,24.3,37.93,1.0
89,932756,El Dorado High,No ,No ,16.5,63.3,56,0.3797356828193832,High Schools (Public),Traditional,39.4,0.3,0.0338409475465313,182,92.0,1182,4,112,20.8,47.6,0.9652509652509652
90,936302,Ponderosa High,No ,No ,10.8,72.2,30,0.177910447761194,High Schools (Public),Traditional,53.6,1.6,0.0087108013937282,259,94.3,1722,3,111,23.1,50.15,0.9245283018867924
91,136291,Career Technical Education Charter,Yes,No ,12.8,50.0,7,0.4671280276816609,High Schools (Public),Traditional,95.7,0.0,0.0163934426229508,22,91.1,305,0,20,11.6,55.93,0.9833333333333332
92,113555,Clovis North High,No ,No ,12.9,89.8,39,0.2800847457627118,High Schools (Public),Traditional,75.3,0.3,0.0016353229762878,169,93.6,2446,0,57,21.4,69.43,0.9731182795698924
93,1030196,Clovis West High,No ,No ,18.2,81.8,41,0.4784798534798535,High Schools (Public),Traditional,62.2,0.0,0.006974716652136,185,90.0,2294,1,136,20.1,59.08,0.994296577946768
94,1030501,Buchanan High,No ,No ,15.5,81.6,45,0.3524108192865542,High Schools (Public),Traditional,64.7,0.5,0.0026217228464419,198,92.0,2670,2,92,21.4,52.76,0.9523809523809524
95,1030683,Clovis East High,No ,No ,16.8,80.7,110,0.5165435271442339,High Schools (Public),Traditional,60.4,1.9,0.0030618493570116,277,90.0,3266,2,195,22.8,42.29,0.9860529986052998
96,1031053,Clovis High,No ,No ,22.0,77.8,84,0.4947822957898524,High Schools (Public),Traditional,61.4,1.1,0.0020583190394511,378,88.9,2915,0,152,19.4,38.39,0.9758842443729904
97,1032150,Fowler High,No ,No ,20.6,74.9,95,0.7980173482032218,High Schools (Public),Traditional,76.2,1.5,0.018735362997658,80,92.3,854,1,20,20.3,26.87,0.995049504950495
99,114553,University High,Yes,No ,2.4,96.5,2,0.2128514056224899,High Schools (Public),Traditional,98.3,0.0,0.008,3,97.6,500,0,0,24.9,86.67,1.0
100,132134,Phillip J Patino School of Entrepreneurship,No ,No ,23.4,88.9,12,0.8404255319148937,High Schools (Public),Traditional,73.2,0.0,0.0032679738562091,11,87.9,306,0,10,21.7,26.79,1.0
101,1030279,Bullard High,No ,No ,25.9,77.0,153,0.648692152917505,High Schools (Public),Traditional,56.7,2.4,0.0049205147615442,310,84.6,2642,7,305,20.5,18.87,0.9165009940357852
102,1030295,Erma Duncan Polytechnical High,No ,No ,19.3,79.3,136,0.8659359190556493,High Schools (Public),Traditional,56.7,0.0,0.0033085194375516,71,94.0,1209,0,43,18.1,34.8,0.9927272727272728
103,1030675,Sunnyside High,No ,No ,39.2,73.8,507,0.8722883135059483,High Schools (Public),Traditional,59.4,3.9,0.0048543689320388,324,84.7,3090,13,364,21.2,16.29,0.9748427672955976
104,1031897,Edison High,No ,No ,31.6,74.2,423,0.837537409149209,High Schools (Public),Traditional,69.7,4.1,0.0117508813160987,229,85.0,2553,6,186,21.1,37.4,0.9703703703703704
105,1032507,Fresno High,No ,No ,36.2,76.1,290,0.884841992501339,High Schools (Public),Traditional,48.3,6.9,0.0176908752327746,279,76.4,2148,3,435,17.4,24.23,0.9533169533169532
106,1032911,Herbert Hoover High,No ,No ,37.0,65.0,239,0.8348039215686275,High Schools (Public),Traditional,43.5,6.4,0.0083187390542907,339,79.4,2284,2,240,18.8,20.63,0.9876543209876544
107,1034214,McLane High,No ,No ,39.2,66.2,412,0.9333657587548638,High Schools (Public),Traditional,57.8,4.6,0.0095777100565955,299,79.8,2297,8,290,18.3,15.57,0.9650205761316872
108,1035831,Roosevelt High,No ,No ,34.2,68.4,488,0.9213793103448276,High Schools (Public),Traditional,56.4,5.7,0.0138605788830004,327,77.6,2453,8,187,17.6,9.09,0.7658227848101266
111,1033695,Kingsburg High,No ,No ,11.9,65.4,59,0.6262814538676608,High Schools (Public),Traditional,45.3,0.0,0.0207581227436823,74,93.7,1108,0,43,19.7,34.33,1.0
112,108092,Orange Cove High,No ,No ,8.2,75.5,95,0.9118110236220472,High Schools (Public),Traditional,87.4,0.7,0.0195488721804511,48,87.4,665,0,69,18.8,34.62,1.0
113,126292,Reedley Middle College High,Yes,No ,0.4,94.3,4,0.7098039215686275,High Schools (Public),Traditional,100.0,0.0,0.0077220077220077,4,96.1,259,0,1,32.5,65.15,1.0
114,1035310,Reedley High,No ,No ,5.4,78.5,203,0.8009977827050998,High Schools (Public),Traditional,62.4,0.3,0.0149492792311799,135,90.2,1873,0,163,23.9,36.92,0.9964285714285714
116,1033950,Laton High,No ,No ,17.5,50.0,35,0.8773006134969326,High Schools (Public),Traditional,28.1,0.0,0.0718562874251497,28,95.8,167,0,7,12.5,17.14,0.9722222222222222
117,1034990,Parlier High,No ,No ,21.2,69.5,235,0.948945615982242,High Schools (Public),Traditional,34.9,2.7,0.095289079229122,108,88.2,934,6,103,19,10.27,0.9893048128342246
119,1036094,Sanger High,No ,No ,16.2,70.6,169,0.6962077493816983,High Schools (Public),Traditional,60.2,1.7,0.0015570260801868,201,89.4,2569,0,200,23.1,55.08,0.9592198581560284
120,1036672,Selma High,No ,No ,20.3,66.0,290,0.9012202208018594,High Schools (Public),Traditional,40.8,1.0,0.0191048034934497,186,85.8,1832,1,141,19.6,19.02,1.0
121,1030121,Firebaugh High,No ,No ,13.5,79.5,82,0.8424962852897474,High Schools (Public),Traditional,41.4,0.0,0.0070621468926553,61,90.1,708,3,19,18.9,26.83,1.0
122,1030626,Central East High,No ,No ,25.0,79.9,221,0.8219414129810454,High Schools (Public),Traditional,33.6,3.5,0.0082559339525283,179,82.6,1938,7,51,20.6,16.57,0.9653333333333334
123,1030790,Central High,No ,No ,32.1,80.0,50,0.7488,High Schools (Public),Traditional,36.5,0.8,0.008955223880597,83,87.9,670,0,21,15.9,28.37,0.9657534246575342
125,1033430,Kerman High,No ,No ,19.4,72.8,235,0.8680509042196919,High Schools (Public),Traditional,54.1,0.9,0.0357370772176132,153,87.5,1567,0,84,21.8,31.75,1.0
127,1030493,Mendota High,No ,No ,15.1,72.2,287,0.9746478873239436,High Schools (Public),Traditional,45.3,3.7,0.0268336314847942,61,88.8,1118,7,104,22.1,24.32,0.9652173913043478
128,1037456,Tranquillity High,No ,No ,31.4,54.9,141,0.9837837837837838,High Schools (Public),Traditional,42.4,1.0,0.0462724935732647,44,91.3,389,0,15,14.5,10.99,1.0
129,1036938,Sierra High,No ,No ,32.9,71.6,1,0.3514986376021798,High Schools (Public),Traditional,55.0,0.0,0.0073891625615763,51,76.6,406,1,41,17,,1.0
130,1035575,Riverdale High,No ,No ,10.9,78.5,91,0.907258064516129,High Schools (Public),Traditional,47.8,0.8,0.05,42,90.4,520,0,34,15.3,20.63,1.0
131,1030535,Caruthers High,No ,No ,19.2,70.3,102,0.8914956011730205,High Schools (Public),Traditional,56.3,1.2,0.0319888734353268,64,90.3,719,0,33,20.8,28.66,1.0
132,1038306,Washington High,No ,No ,22.1,70.8,205,0.8713503649635036,High Schools (Public),Traditional,47.2,4.1,0.0111972437553832,116,87.6,1161,0,59,20.2,23.17,0.9847908745247148
133,1136209,Princeton High,No ,No ,25.0,,3,0.6744186046511628,High Schools (Public),Traditional,23.1,7.1,0.1020408163265306,5,77.6,49,0,0,8.3,29.41,0.9444444444444444
134,1132851,Willows High,No ,No ,20.9,61.8,47,0.7044917257683215,High Schools (Public),Traditional,47.0,3.5,0.0112612612612612,60,90.1,444,0,49,16.3,20.0,0.9821428571428572
135,1135656,Orland High,No ,No ,13.2,69.2,88,0.7806896551724138,High Schools (Public),Traditional,25.5,2.1,0.02088772845953,86,86.7,766,2,71,18.4,16.18,0.9719101123595506
136,1133701,Hamilton High,No ,No ,13.9,74.6,36,0.6830065359477124,High Schools (Public),Traditional,41.4,3.3,0.0031948881789137,40,96.2,313,0,9,15.7,15.91,0.967032967032967
137,107110,Six Rivers Charter High,Yes,No ,29.3,80.0,1,0.3097345132743362,High Schools (Public),Traditional,30.4,0.0,0.0,34,91.5,117,1,16,21.9,55.17,1.0
139,1233402,Fortuna Union High,No ,No ,26.6,68.7,57,0.6610169491525424,High Schools (Public),Traditional,41.7,3.4,0.069634703196347,143,83.7,876,1,113,20.5,24.71,0.9392265193370166
140,1234004,Hoopa Valley High,No ,No ,77.5,61.4,2,0.7773584905660378,High Schools (Public),Traditional,24.5,0.0,0.2572463768115942,61,88.0,276,0,37,15.1,16.67,1.0
141,1237007,South Fork High,No ,No ,41.6,51.9,5,0.6492890995260664,High Schools (Public),Traditional,40.0,8.2,0.1397379912663755,30,90.3,229,0,11,14.6,4.65,0.8431372549019608
142,1232206,Eureka Senior High,No ,No ,23.7,65.9,140,0.5111876075731497,High Schools (Public),Traditional,29.8,2.3,0.082516339869281,165,89.5,1224,5,121,19.3,30.0,0.975609756097561
143,1331404,Brawley Union High,No ,No ,20.1,75.0,394,0.7069243156199678,High Schools (Public),Traditional,47.0,0.8,0.0045894951555328,289,87.1,1961,15,193,23.3,33.08,0.9801980198019802
144,1332204,Calexico High,No ,No ,29.1,84.9,1201,0.848871085214858,High Schools (Public),Traditional,32.9,4.9,0.0300174520069808,306,91.1,2865,1,74,22.3,10.76,0.9722222222222222
146,1332501,Calipatria High,No ,No ,26.0,74.5,82,0.8376811594202899,High Schools (Public),Traditional,50.7,6.3,0.0083333333333333,51,91.9,360,0,35,15.7,6.25,0.8888888888888888
147,1333004,Central Union High,No ,No ,11.3,75.8,449,0.7258225324027916,High Schools (Public),Traditional,45.2,1.3,0.0933833880807132,283,89.8,2131,1,40,21.2,,0.0
148,1335306,Holtville High,No ,No ,18.3,80.3,165,0.7422480620155039,High Schools (Public),Traditional,86.2,0.8,0.0092764378478664,50,90.3,539,1,28,15.2,15.83,0.9858156028368794
149,1335900,Imperial High,No ,No ,20.3,80.1,151,0.4697706740792217,High Schools (Public),Traditional,43.9,0.6,0.0683818551117129,178,93.8,1477,1,68,23.1,39.04,0.9910714285714286
150,1337609,San Pasqual Valley High,No ,No ,31.1,61.8,44,0.9209039548022598,High Schools (Public),Traditional,24.4,10.4,0.0686274509803921,36,79.4,204,0,27,11.8,8.16,0.9607843137254902
151,1431352,Big Pine High,No ,No ,50.0,,2,0.5333333333333333,High Schools (Public),Traditional,,,0.0,2,93.5,31,0,0,6.7,,1.0
152,1434901,Lone Pine High,No ,No ,40.4,34.6,7,0.5232558139534884,High Schools (Public),Traditional,8.0,16.7,0.0,12,87.2,94,0,9,11.6,,0.4666666666666667
153,1431600,Bishop Union High,No ,No ,22.9,57.5,48,0.3914473684210526,High Schools (Public),Traditional,42.1,0.0,0.0312012480499219,81,89.4,641,0,32,18.3,19.23,0.9558823529411764
154,100529,Cesar E. Chavez High,No ,No ,15.9,51.3,240,0.8619119878603946,High Schools (Public),Traditional,67.8,2.5,0.0115190784737221,99,90.7,1389,1,37,22.6,32.78,1.0
155,116384,Robert F. Kennedy High,No ,No ,18.0,48.3,269,0.8931133428981348,High Schools (Public),Traditional,63.9,0.6,0.0172294968986905,167,91.0,1451,1,40,22.6,34.91,0.9906542056074766
156,1531672,Delano High,No ,No ,19.2,47.0,312,0.927927927927928,High Schools (Public),Traditional,77.7,1.2,0.0203602192638997,94,91.9,1277,1,8,21,31.68,0.9739776951672864
157,100198,Golden Valley High,No ,No ,14.1,48.8,167,0.9084380610412928,High Schools (Public),Traditional,46.7,5.3,0.0138306789606035,237,87.7,2386,1,172,23.1,20.9,0.9305555555555556
158,110999,Frontier High,No ,No ,12.6,56.5,56,0.3579599618684461,High Schools (Public),Traditional,59.9,0.8,0.0074039796390559,207,92.2,2161,2,123,26.1,36.36,0.952755905511811
159,116392,Independence High,No ,No ,15.3,56.8,70,0.7465576592082617,High Schools (Public),Traditional,39.7,5.1,0.0145956607495069,239,84.5,2535,3,293,26.1,38.25,0.9595959595959596
160,116400,Mira Monte High,No ,No ,17.9,50.4,377,0.947265625,High Schools (Public),Traditional,40.8,9.5,0.0498220640569395,281,83.1,2248,3,451,24.4,13.2,0.9642147117296224
161,1530252,Arvin High,No ,No ,22.6,50.8,569,0.9645684131172256,High Schools (Public),Traditional,39.9,9.1,0.0214562082307421,202,88.0,2843,0,217,25.9,23.5,0.9700499168053244
162,1530344,Stockdale High,No ,No ,11.4,68.8,73,0.4428690575479566,High Schools (Public),Traditional,57.6,3.1,0.0071146245059288,205,90.6,2530,0,141,27.6,47.66,0.9435626102292768
163,1530369,Centennial High,No ,No ,11.7,58.9,66,0.4448462929475588,High Schools (Public),Traditional,49.7,2.4,0.0110216193302246,237,89.9,2359,1,178,25.1,34.63,0.8183632734530938
164,1530385,Ridgeview High,No ,No ,13.5,52.6,223,0.7180582524271845,High Schools (Public),Traditional,52.9,7.8,0.0072912869121399,270,87.7,2743,1,324,26.9,23.09,0.9532062391681108
165,1530476,Liberty High,No ,No ,13.0,59.0,55,0.4314056563951034,High Schools (Public),Traditional,53.2,1.6,0.0081201786439301,222,92.9,2463,0,113,26.7,30.03,0.9186602870813396
166,1530708,Bakersfield High,No ,No ,19.2,51.4,311,0.8152492668621701,High Schools (Public),Traditional,30.7,15.8,0.0372526193247962,395,79.6,3436,0,582,25.4,23.53,0.7038216560509554
