,School Code,SPED_ENR_N
569,0102475,191
570,1931492,321
571,1931740,326
572,1933902,282
573,1995802,440
574,1996321,10
575,0132969,1
576,1931567,151
577,1931963,196
578,1932326,221
579,1995695,22
580,1996057,4
581,1934801,131
582,1935246,194
583,1939834,138
584,1939925,154
585,1996560,1
586,1936228,195
587,1937564,177
588,1932862,170
589,1939149,174
590,1995810,185
591,0127100,613
592,0134619,28
593,1995786,78
594,1935808,366
595,1937143,350
596,1930163,294
597,1934553,125
598,1937697,135
599,0119016,32
600,0119636,55
601,0131128,78
602,2032357,74
603,0110965,133
604,0118950,7
605,0139691,151
606,2035707,129
607,0111443,8
608,2030203,82
609,0100180,2
610,0117010,32
611,0125021,18
612,2030013,81
613,2030104,7
614,2030237,9
615,2132272,132
616,2133056,118
617,2133262,122
618,2134005,124
619,2130078,38
620,2131340,197
621,2132587,215
622,2133692,205
623,2134310,31
624,2230100,2
625,2230076,1
626,2235356,58
627,2331361,70
628,2333185,22
629,2333649,22
630,2330033,5
631,2334563,19
632,2335024,228
633,0136887,11
634,2335487,74
635,2330041,16
636,2332260,15
637,2330207,1
638,2332724,4
639,2430163,20
640,2432409,60
641,2433001,37
642,0120923,228
643,2434207,197
644,0127373,160
645,2430049,15
646,2430098,198
647,2430205,192
648,2430601,262
649,2433605,109
650,2435204,202
651,2431807,49
652,2430015,20
653,2431203,77
654,2430114,64
655,2535409,24
656,0124990,2
657,2630028,1
658,2633006,6
659,2635001,5
660,2630010,40
661,2730117,23
662,2730265,9
663,2730414,98
664,0141010,12
665,2730174,150
666,2732170,204
667,0111435,140
668,2732808,149
669,2735348,150
670,2733657,86
671,0136697,179
672,2730109,266
673,2730166,220
674,2733178,200
675,2734556,275
676,2730034,193
677,2730190,252
678,2730885,129
679,2830073,3
680,0121087,161
681,2830016,167
682,2830115,53
683,2835601,220
684,2837102,42
685,0114314,27
686,0112367,1
687,0124834,33
688,2930030,11
689,2930048,89
690,2935500,247
691,0133983,74
692,0134841,65
693,0141978,33
694,3030038,256
695,3030228,407
696,3033057,354
697,3033115,234
698,3033784,260
699,3034204,250
700,3036712,219
701,3038239,214
702,3030640,200
703,0124131,7
704,3030210,319
705,3030335,111
706,3030855,233
707,3032505,236
708,3033362,241
709,3037090,209
710,3037348,133
711,3037496,154
712,3030434,184
713,3032752,205
714,3033578,161
715,3033933,266
716,3035581,193
717,3035706,253
718,3036555,227
719,3030145,228
720,3030368,41
721,3031895,343
722,3032158,228
723,3032943,177
724,3034410,209
725,3038445,318
726,3033206,73
727,0111666,3
728,3034907,31
729,3035045,253
730,3030046,206
731,3031952,222
732,3035409,286
733,3038098,231
734,0119404,123
735,3030053,184
736,3031929,210
737,3038023,251
738,0106567,35
739,0108365,221
740,0114736,152
741,3030491,439
742,3030608,5
743,3036357,385
744,3036456,359
745,3030061,241
746,3030079,25
747,3030244,183
748,3030392,276
749,3034956,151
750,0102871,308
751,3032109,288
752,3037553,257
753,0133405,177
754,3030129,33
755,3030152,207
756,3030285,194
757,3030657,114
758,3035102,151
759,3033917,238
760,3130101,5
761,0102293,21
762,0138081,10
763,3131851,62
764,3132453,128
765,3135704,195
766,0116459,123
767,0139840,126
768,3130119,3
769,3130176,161
770,3130184,133
771,3135308,140
772,3136504,139
773,3130010,53
774,3138500,115
775,0140541,136
776,3134657,180
777,0108084,237
778,3130150,261
779,0100057,2
780,0125237,26
781,0128397,96
782,0128777,47
783,0125732,213
784,3330008,221
785,3334299,254
786,3330479,496
787,0110627,416
788,0110759,23
789,3330446,317
790,3330701,399
791,3331600,355
792,3334232,291
793,0118885,232
794,3330388,210
795,3330669,295
796,3333192,292
797,0113159,320
798,3330537,339
799,3332673,371
800,0114157,325
801,3330412,218
802,3337136,198
803,3330396,342
