,School Code,Homeless Student Enrollment (Rate)
14167,0930164,0.05102040816326531
14181,0937805,0.02600896860986547
19054,1030535,0.031988873435326845
19060,1030626,0.008255933952528379
19062,1030790,0.008955223880597015
19072,0140509,0.008355321020228672
19079,1035112,0.031446540880503145
19087,1030501,0.0026217228464419477
19094,1030683,0.003061849357011635
19096,1031053,0.002058319039451115
19097,0113555,0.001635322976287817
19099,1030196,0.006974716652136007
19154,1030121,0.007062146892655367
19160,1032150,0.01873536299765808
19168,0136291,0.01639344262295082
19170,0109991,0.03134110787172012
19187,1030279,0.004920514761544285
19198,0108555,0.008064516129032258
19204,1031897,0.011750881316098707
19209,1030295,0.0033085194375516956
19215,1030717,0.0
19218,1032507,0.017690875232774673
19219,6112619,0.0
19225,1032911,0.008318739054290718
19245,1034214,0.00957771005659556
19252,0132134,0.0032679738562091504
19259,1035831,0.013860578883000407
19263,1030642,0.16988416988416988
19268,1030675,0.0048543689320388345
19276,0114553,0.008
19292,1037456,0.04627249357326478
19293,1033422,0.10344827586206896
19296,1033430,0.035737077217613274
19317,0108092,0.019548872180451128
19318,1035310,0.014949279231179925
19319,0126292,0.007722007722007722
19332,1033695,0.02075812274368231
19333,0124727,0.03260869565217391
19336,1033950,0.0718562874251497
19338,0140434,0.0
19344,1030493,0.026833631484794274
19353,1034990,0.09528907922912205
19356,0126870,0.12658227848101267
19358,0136499,0.0228310502283105
19363,1035575,0.05
19381,1036094,0.001557026080186843
19382,0141291,0.001985440105890139
19393,1036672,0.01910480349344978
19401,1036938,0.007389162561576354
19407,0122473,0.00847457627118644
19410,1038306,0.01119724375538329
19415,0136523,0.024987986544930323
20862,1133701,0.003194888178913738
20868,1135656,0.020887728459530026
20872,1136209,0.10204081632653061
20874,1132109,0.0
20879,1132851,0.01126126126126126
24478,1232206,0.08251633986928104
24488,1232909,0.013513513513513514
24495,0108688,0.018633540372670808
24497,1233402,0.06963470319634703
24507,0106203,0.10204081632653061
24514,1234004,0.2572463768115942
24524,1230085,0.0
24528,1230705,0.030131826741996232
24531,1235209,0.048414023372287146
24534,0107110,0.0
24552,1237007,0.13973799126637554
26712,1331404,0.004589495155532891
26716,1332154,0.08241758241758242
26718,1332204,0.0300174520069808
26729,1332501,0.008333333333333333
26732,1333004,0.09338338808071328
