,School Code,Percent Eligible FRPM,School Type,Educational Option Type
2966,1935568,0.7117263843648208,High Schools (Public),Traditional
2968,1935865,0.9406824146981627,High Schools (Public),Traditional
2969,1936160,0.8398967075532602,High Schools (Public),Traditional
2970,1936350,0.719721767594108,High Schools (Public),Traditional
2971,1937085,0.9230769230769231,Opportunity Schools,Opportunity School
2973,1937424,0.9630512514898689,High Schools (Public),Traditional
2974,1937622,0.9322139303482587,High Schools (Public),Traditional
2975,1937838,0.7714762301918265,High Schools (Public),Traditional
2976,1938307,0.9375371802498513,High Schools (Public),Traditional
2977,1938554,0.8708133971291866,High Schools (Public),Traditional
2978,1938612,0.5659612787032868,High Schools (Public),Traditional
2979,1938885,0.7227436823104693,High Schools (Public),Traditional
2980,1938968,0.8496698831894363,High Schools (Public),Traditional
2981,1939040,0.647187091146969,High Schools (Public),Traditional
2982,1939107,0.8368200836820083,High Schools (Public),Traditional
2983,1939305,0.9715447154471545,High Schools (Public),Traditional
2984,1939479,0.8438030560271647,Alternative Schools of Choice,Alternative School of Choice
2986,1939859,0.9396825396825397,High Schools (Public),Traditional
2987,1939941,0.7202602230483272,High Schools (Public),Traditional
2988,1995448,0.811623246492986,Alternative Schools of Choice,Alternative School of Choice
2989,1995794,1.0,Alternative Schools of Choice,Alternative School of Choice
2990,1995836,0.21506849315068494,High Schools (Public),Traditional
2991,1996073,0.961038961038961,District Community Day Schools,Community Day School
3537,0109538,0.9479485609308022,High Schools (Public),Traditional
3539,1935436,0.9634015069967707,High Schools (Public),Traditional
3552,1935923,0.6371134020618556,High Schools (Public),Traditional
3562,0124552,0.8847457627118644,High Schools (Public),Traditional
3563,1930155,0.8406412069778406,High Schools (Public),Traditional
3564,1930825,0.8695014662756598,High Schools (Public),Traditional
3565,1935998,0.8898793917147352,High Schools (Public),Traditional
3612,1933647,0.7494331065759637,High Schools (Public),Traditional
3613,1934728,0.5701042873696408,High Schools (Public),Traditional
3614,1936467,0.779277108433735,High Schools (Public),Traditional
3648,0140889,0.7209302325581395,K-12 Schools (Public),Traditional
3672,1995588,0.11759036144578314,High Schools (Public),Traditional
3673,1996552,0.08355795148247978,High Schools (Public),Traditional
3692,0136705,0.9523809523809523,High Schools (Public),Traditional
3693,1936749,0.9670588235294117,High Schools (Public),Traditional
3719,1936103,0.7620232172470979,High Schools (Public),Traditional
3721,1936822,0.6761320030698388,High Schools (Public),Traditional
3742,1933175,0.9184357541899442,High Schools (Public),Traditional
3743,1933324,0.9144862795149968,High Schools (Public),Traditional
3745,1937028,0.9365558912386707,High Schools (Public),Traditional
3747,1995901,0.7866407263294423,High Schools (Public),Traditional
3748,1996495,0.8888888888888888,Alternative Schools of Choice,Alternative School of Choice
3784,1937754,0.11512415349887133,High Schools (Public),Traditional
3790,1933373,0.8333333333333334,Continuation High Schools,Continuation School
3791,1938000,0.35394126738794435,High Schools (Public),Traditional
3792,1995737,0.20930232558139536,High Schools (Public),Traditional
3820,1938455,0.14973958333333334,High Schools (Public),Traditional
3844,1938679,0.3591905564924115,High Schools (Public),Traditional
3855,1936277,0.44646799116997793,High Schools (Public),Traditional
3857,1938356,0.2243367935409458,High Schools (Public),Traditional
3858,1938752,0.3640234167110165,High Schools (Public),Traditional
3859,1939602,0.24676056338028168,High Schools (Public),Traditional
3890,0122432,0.8061797752808989,High Schools (Public),Traditional
3891,0137042,0.6590909090909091,Alternative Schools of Choice,Alternative School of Choice
3893,1939537,0.8189066059225513,High Schools (Public),Traditional
3933,1931302,0.8027421494913755,High Schools (Public),Traditional
3934,1934868,0.5843170320404721,High Schools (Public),Traditional
3935,1936889,0.877,High Schools (Public),Traditional
3936,1937903,0.7764075067024129,High Schools (Public),Traditional
3937,1939701,0.8547215496368039,High Schools (Public),Traditional
3938,1995653,0.8028169014084507,Alternative Schools of Choice,Alternative School of Choice
3941,0102459,0.42272727272727273,High Schools (Public),Traditional
3943,0102475,0.12492965672481711,High Schools (Public),Traditional
3947,1931492,0.3714139344262295,High Schools (Public),Traditional
3948,1931740,0.1760897712559344,High Schools (Public),Traditional
3950,1933902,0.3910355486862442,High Schools (Public),Traditional
3952,1995802,0.1268591426071741,High Schools (Public),Traditional
3954,1996321,0.15324675324675324,High Schools (Public),Traditional
3967,0132969,0.85431654676259,High Schools (Public),Traditional
3972,1931567,0.9008810572687225,High Schools (Public),Traditional
3973,1931963,0.9193324061196105,High Schools (Public),Traditional
3974,1932326,0.9152970922882427,High Schools (Public),Traditional
3975,1995695,0.9125475285171103,Continuation High Schools,Continuation School
3977,1996057,0.8823529411764706,K-12 Schools (Public),Traditional
4011,1934801,0.8696186961869619,High Schools (Public),Traditional
4012,1935246,0.7022613065326633,High Schools (Public),Traditional
4014,1939834,0.6517857142857143,High Schools (Public),Traditional
4015,1939925,0.8437067773167358,High Schools (Public),Traditional
4016,1996560,0.8461538461538461,District Community Day Schools,Community Day School
4043,1936228,0.8280130293159609,High Schools (Public),Traditional
4044,1937564,0.6810515873015873,High Schools (Public),Traditional
4062,1932862,0.2259071400702302,High Schools (Public),Traditional
4064,1939149,0.23649906890130354,High Schools (Public),Traditional
4078,1995810,0.6995827538247567,High Schools (Public),Traditional
4088,0127100,0.843065693430657,K-12 Schools (Public),Traditional
4092,0134619,0.8518518518518519,High Schools (Public),Traditional
4099,1995786,0.682741116751269,High Schools (Public),Traditional
4104,1935808,0.06995551961180752,High Schools (Public),Traditional
4115,1937143,0.18384115029099624,High Schools (Public),Traditional
4129,1930163,0.4795719844357977,High Schools (Public),Traditional
4130,1934553,0.4093593820990459,High Schools (Public),Traditional
4131,1937697,0.6643952299829642,High Schools (Public),Traditional
4146,0119016,0.3423913043478261,High Schools (Public),Traditional
4147,0119636,0.5279850746268657,High Schools (Public),Traditional
4149,0131128,0.4909090909090909,High Schools (Public),Traditional
4175,2032357,0.8112094395280236,High Schools (Public),Traditional
4183,0110965,0.9521247982786444,High Schools (Public),Traditional
4186,0118950,0.6231884057971014,High Schools (Public),Traditional
4193,0139691,0.8993554784333168,High Schools (Public),Traditional
4195,2035707,0.817549491706795,High Schools (Public),Traditional
4211,0111443,0.84,Alternative Schools of Choice,Alternative School of Choice
4216,2030203,0.3449197860962567,High Schools (Public),Traditional
4222,0100180,0.8461538461538461,High Schools (Public),Traditional
4224,0117010,0.5094339622641509,High Schools (Public),Traditional
4225,0125021,0.5333333333333333,High Schools (Public),Traditional
4231,2030013,0.6586715867158671,High Schools (Public),Traditional
4233,2030070,0.75,Alternative Schools of Choice,Alternative School of Choice
4234,2030104,0.7608695652173914,Alternative Schools of Choice,Alternative School of Choice
4235,2030237,0.4878048780487805,High Schools (Public),Traditional
4272,2132272,0.48329448329448327,High Schools (Public),Traditional
4273,2133056,0.3568,High Schools (Public),Traditional
4303,2133262,0.7222222222222222,High Schools (Public),Traditional
4304,2134005,0.49439102564102566,High Schools (Public),Traditional
4309,2130078,0.1693548387096774,Alternative Schools of Choice,Alternative School of Choice
4310,2131340,0.10341805433829973,High Schools (Public),Traditional
4311,2132587,0.08188153310104529,High Schools (Public),Traditional
4312,2133692,0.11768707482993197,High Schools (Public),Traditional
4315,2134310,0.7322834645669292,High Schools (Public),Traditional
4326,2230100,0.8,County Community,County Community School
4332,2230076,0.8571428571428571,High Schools (Public),Traditional
4334,2235356,0.6268980477223427,High Schools (Public),Traditional
4351,2331361,0.7750439367311072,High Schools (Public),Traditional
4357,2333185,0.6363636363636364,High Schools (Public),Traditional
4362,2333649,0.48091603053435117,High Schools (Public),Traditional
4363,2330033,0.9523809523809523,Continuation High Schools,Continuation School
4365,2334563,0.8849557522123894,High Schools (Public),Traditional
4376,2335024,0.7651386530843237,High Schools (Public),Traditional
4388,0136887,0.7719298245614035,Alternative Schools of Choice,Alternative School of Choice
4390,2335487,0.5062972292191436,High Schools (Public),Traditional
4396,2330041,0.5189873417721519,High Schools (Public),Traditional
4399,2332260,0.7653061224489796,High Schools (Public),Traditional
4401,2330207,0.7142857142857143,High Schools (Public),Traditional
4402,2332724,0.5882352941176471,High Schools (Public),Traditional
4409,2430163,0.88125,County Community,County Community School
4429,2432409,0.6063218390804598,High Schools (Public),Traditional
4435,2433001,0.871900826446281,High Schools (Public),Traditional
4444,0120923,0.7107246376811595,High Schools (Public),Traditional
4450,2434207,0.7848347375243033,High Schools (Public),Traditional
4480,0127373,0.762409369771333,High Schools (Public),Traditional
4481,2430049,0.8850574712643678,Alternative Schools of Choice,Alternative School of Choice
4482,2430098,0.8513302034428795,High Schools (Public),Traditional
4483,2430205,0.7846244131455399,High Schools (Public),Traditional
4484,2430601,0.8210941350418925,High Schools (Public),Traditional
4485,2433605,0.8545765611633875,High Schools (Public),Traditional
4486,2435204,0.7941327843540916,High Schools (Public),Traditional
4500,2431807,0.7947269303201506,High Schools (Public),Traditional
4505,2430015,0.9295774647887324,Continuation High Schools,Continuation School
4506,2431203,0.8857589984350548,High Schools (Public),Traditional
4512,2430114,0.9,High Schools (Public),Traditional
4518,2530020,1.0,Continuation High Schools,Continuation School
4520,2535409,0.636734693877551,High Schools (Public),Traditional
4525,0124990,1.0,High Schools (Public),Traditional
4526,2630028,0.7272727272727273,County Community,County Community School
4527,2633006,0.4,High Schools (Public),Traditional
4528,2635001,0.4,High Schools (Public),Traditional
4533,2630010,0.38484848484848483,High Schools (Public),Traditional
4540,2730117,1.0,Juvenile Court Schools,Juvenile Court School
4542,2730265,0.8811881188118812,County Community,County Community School
4561,2730414,0.15128205128205127,High Schools (Public),Traditional
4579,0141010,0.8571428571428571,Alternative Schools of Choice,Alternative School of Choice
4581,2730174,0.7849293563579278,High Schools (Public),Traditional
4582,2732170,0.8215179316096747,High Schools (Public),Traditional
4587,0111435,0.7794729542302358,High Schools (Public),Traditional
4594,2732808,0.5817273376159886,High Schools (Public),Traditional
4595,2735348,0.8443616029822927,High Schools (Public),Traditional
4608,2733657,0.18659420289855072,High Schools (Public),Traditional
4630,0136697,0.840625,High Schools (Public),Traditional
4631,2730109,0.9522246535375638,High Schools (Public),Traditional
4632,2730166,0.9271991911021233,High Schools (Public),Traditional
4634,2733178,0.9349477682811016,High Schools (Public),Traditional
4636,2734556,0.7752100840336135,High Schools (Public),Traditional
4656,2730034,0.8448,High Schools (Public),Traditional
4672,2730190,0.8505821474773609,High Schools (Public),Traditional
4678,2730885,0.8388814913448736,High Schools (Public),Traditional
4683,2830073,1.0,Juvenile Court Schools,Juvenile Court School
4695,0121087,0.5627906976744186,High Schools (Public),Traditional
4697,2830016,0.5776818742293465,High Schools (Public),Traditional
4698,2830115,0.6438356164383562,Alternative Schools of Choice,Alternative School of Choice
4700,2835601,0.7442143727161997,High Schools (Public),Traditional
4722,2837102,0.36778846153846156,High Schools (Public),Traditional
4726,0114314,0.5714285714285714,High Schools (Public),Traditional
4745,0112367,0.2129032258064516,Alternative Schools of Choice,Alternative School of Choice
4746,0124834,0.47643979057591623,High Schools (Public),Traditional
4747,2930030,0.3963963963963964,Alternative Schools of Choice,Alternative School of Choice
4748,2930048,0.25150602409638556,High Schools (Public),Traditional
4750,2935500,0.370275464445868,High Schools (Public),Traditional
4767,0133983,0.747072599531616,High Schools (Public),Traditional
4771,0134841,0.8428571428571429,High Schools (Public),Traditional
4780,0141978,0.9923076923076923,High Schools (Public),Traditional
4824,3030038,0.608193668528864,High Schools (Public),Traditional
4825,3030228,0.9415073115860517,High Schools (Public),Traditional
4829,3033057,0.9174548581255374,High Schools (Public),Traditional
4830,3033115,0.6949067070095815,High Schools (Public),Traditional
4831,3033784,0.9239766081871345,High Schools (Public),Traditional
4832,3034204,0.9067164179104478,High Schools (Public),Traditional
4833,3036712,0.8963165075034106,High Schools (Public),Traditional
4834,3038239,0.8990318118948825,High Schools (Public),Traditional
4847,3030640,0.4158711217183771,High Schools (Public),Traditional
4877,0124131,0.22727272727272727,Alternative Schools of Choice,Alternative School of Choice
4882,3030210,0.40532395781014563,High Schools (Public),Traditional
4981,3030335,0.7033898305084746,Alternative Schools of Choice,Alternative School of Choice
4982,3030855,0.906064209274673,High Schools (Public),Traditional
4983,3032505,0.6276595744680851,High Schools (Public),Traditional
4984,3033362,0.6512493354598617,High Schools (Public),Traditional
4986,3037090,0.6649803260258572,High Schools (Public),Traditional
4987,3037348,0.4848095849379546,High Schools (Public),Traditional
4988,3037496,0.3973642172523962,High Schools (Public),Traditional
4991,3030434,0.8618459729570841,High Schools (Public),Traditional
4992,3032752,0.8226256983240223,High Schools (Public),Traditional
4993,3033578,0.7618814306712396,High Schools (Public),Traditional
4994,3033933,0.9237762237762238,High Schools (Public),Traditional
4995,3035581,0.5116279069767442,High Schools (Public),Traditional
4996,3035706,0.8658790826963169,High Schools (Public),Traditional
4997,3036555,0.9212740384615384,High Schools (Public),Traditional
5065,3030145,0.7816291161178509,High Schools (Public),Traditional
5066,3030368,0.31446540880503143,Alternative Schools of Choice,Alternative School of Choice
5067,3031895,0.2733040507564666,High Schools (Public),Traditional
5068,3032158,0.5247555976032797,High Schools (Public),Traditional
5069,3032943,0.3376181474480151,High Schools (Public),Traditional
5070,3034410,0.46770155232849275,High Schools (Public),Traditional
5071,3038445,0.8592328983788059,High Schools (Public),Traditional
5074,3033206,0.1705521472392638,High Schools (Public),Traditional
5101,0111666,0.6497175141242938,Alternative Schools of Choice,Alternative School of Choice
5106,3034907,0.7972027972027972,Continuation High Schools,Continuation School
5107,3035045,0.42658349328214973,High Schools (Public),Traditional
5151,3030046,0.315162620247366,High Schools (Public),Traditional
5152,3031952,0.6902506963788301,High Schools (Public),Traditional
5153,3035409,0.8692129629629629,High Schools (Public),Traditional
5155,3038098,0.5615422639644093,High Schools (Public),Traditional
5194,0119404,0.28019619865113427,High Schools (Public),Traditional
5195,3030053,0.44938980617372576,High Schools (Public),Traditional
5197,3031929,0.35535535535535534,High Schools (Public),Traditional
5199,3038023,0.6727498963085856,High Schools (Public),Traditional
5227,0106567,0.8888888888888888,High Schools (Public),Traditional
5228,0108365,0.8055555555555556,High Schools (Public),Traditional
5231,0114736,0.8915234143449912,High Schools (Public),Traditional
5235,3030491,0.8959842001316656,High Schools (Public),Traditional
5236,3030608,0.8638392857142857,Alternative Schools of Choice,Alternative School of Choice
5239,3036357,0.906187624750499,High Schools (Public),Traditional
5240,3036456,0.9140461215932913,High Schools (Public),Traditional
5304,3030061,0.5021030494216614,High Schools (Public),Traditional
5305,3030079,0.865,Continuation High Schools,Continuation School
5306,3030244,0.5854214123006833,High Schools (Public),Traditional
5307,3030392,0.37252525252525254,High Schools (Public),Traditional
5309,3034956,0.40932311621966794,High Schools (Public),Traditional
5339,0102871,0.44488472622478387,High Schools (Public),Traditional
5345,3032109,0.477892756349953,High Schools (Public),Traditional
5347,3037553,0.8684695759065765,High Schools (Public),Traditional
5374,0133405,0.17638321574452284,High Schools (Public),Traditional
5381,3030129,0.6282051282051282,Continuation High Schools,Continuation School
5382,3030152,0.2255600814663951,High Schools (Public),Traditional
5383,3030285,0.2446236559139785,High Schools (Public),Traditional
5385,3030657,0.1876114081996435,High Schools (Public),Traditional
5386,3035102,0.23016905071521457,High Schools (Public),Traditional
5416,3033917,0.16432246998284733,High Schools (Public),Traditional
5428,3130101,1.0,Juvenile Court Schools,Juvenile Court School
5479,0102293,0.3684210526315789,High Schools (Public),Traditional
5480,0138081,0.43859649122807015,High Schools (Public),Traditional
5482,3131851,0.2127659574468085,High Schools (Public),Traditional
5483,3132453,0.12851897184822522,High Schools (Public),Traditional
5484,3135704,0.29881422924901185,High Schools (Public),Traditional
5508,0116459,0.6732564524986271,High Schools (Public),Traditional
5510,0139840,0.30062530062530063,High Schools (Public),Traditional
5512,3130119,0.4883720930232558,Alternative Schools of Choice,Alternative School of Choice
5513,3130176,0.3835051546391753,High Schools (Public),Traditional
5514,3130184,0.25,High Schools (Public),Traditional
5516,3135308,0.4604651162790698,High Schools (Public),Traditional
5517,3136504,0.5058905058905059,High Schools (Public),Traditional
5520,3130010,0.3611111111111111,High Schools (Public),Traditional
5523,3138500,0.28114663726571115,High Schools (Public),Traditional
5538,0140541,0.2034927866362946,High Schools (Public),Traditional
5541,3134657,0.4214527027027027,High Schools (Public),Traditional
5549,0108084,0.20872121509064184,High Schools (Public),Traditional
5554,3130150,0.19886363636363635,High Schools (Public),Traditional
5569,0100057,0.5,County Community,County Community School
5583,0125237,0.8739495798319328,County Community,County Community School
5585,0128397,0.7565359477124183,County Community,County Community School
5586,0128777,0.6015228426395939,High Schools (Public),Traditional
5603,0125732,0.7561797752808989,High Schools (Public),Traditional
5605,3330008,0.8791281373844122,High Schools (Public),Traditional
5606,3334299,0.9201773835920177,High Schools (Public),Traditional
5646,3330479,0.6367052023121387,High Schools (Public),Traditional
5659,0110627,0.6623018607856651,High Schools (Public),Traditional
5662,0110759,0.590778097982709,Alternative Schools of Choice,Alternative School of Choice
5670,3330446,0.8126843657817109,High Schools (Public),Traditional
5672,3330701,0.6323734973441432,High Schools (Public),Traditional
5673,3331600,0.8634590377113134,High Schools (Public),Traditional
5674,3334232,0.718011811023622,High Schools (Public),Traditional
5712,0118885,0.8006060606060607,High Schools (Public),Traditional
5716,3330388,0.6017316017316018,High Schools (Public),Traditional
5717,3330669,0.7439175257731959,High Schools (Public),Traditional
5720,3333192,0.9383282364933742,High Schools (Public),Traditional
5748,0113159,0.8568994889267462,High Schools (Public),Traditional
5755,3330537,0.9009154550350027,High Schools (Public),Traditional
5756,3332673,0.8251864125932062,High Schools (Public),Traditional
5771,0114157,0.7444768653605669,High Schools (Public),Traditional
5773,3330412,0.815711754282339,High Schools (Public),Traditional
5775,3337136,0.8856235107227959,High Schools (Public),Traditional
5819,3330396,0.8334073745002222,High Schools (Public),Traditional
5820,3330438,0.8151167098925528,High Schools (Public),Traditional
5822,3331071,0.8778586278586279,High Schools (Public),Traditional
5824,3333770,0.9248692344270091,High Schools (Public),Traditional
5853,3331014,0.7571214392803598,High Schools (Public),Traditional
5861,0127316,0.9521770164168452,High Schools (Public),Traditional
5863,3330578,0.9550224887556222,High Schools (Public),Traditional
5864,3330818,0.9608772969768821,High Schools (Public),Traditional
5866,3335130,0.957247828991316,High Schools (Public),Traditional
5887,3335759,0.768918918918919,High Schools (Public),Traditional
5903,0113191,0.8085836909871245,High Schools (Public),Traditional
5906,0140491,0.5344895545920378,High Schools (Public),Traditional
5908,3330727,0.6349014877362283,High Schools (Public),Traditional
5909,3335973,0.9527671755725191,High Schools (Public),Traditional
5919,3330024,0.8088541666666667,High Schools (Public),Traditional
5923,3330859,0.5472397184142275,High Schools (Public),Traditional
5924,3334406,0.8791645947289906,High Schools (Public),Traditional
5925,3336237,0.7037037037037037,High Schools (Public),Traditional
5926,3336492,0.8627450980392157,High Schools (Public),Traditional
5977,3331006,0.912,High Schools (Public),Traditional
5979,3337656,0.8994974874371859,High Schools (Public),Traditional
5987,0100255,0.9728,High Schools (Public),Traditional
5991,0121673,0.8851063829787233,High Schools (Public),Traditional
5994,3330990,0.9034782608695652,High Schools (Public),Traditional
6009,0107920,0.8488441019561351,High Schools (Public),Traditional
6017,3330487,0.6784660766961652,High Schools (Public),Traditional
6018,3332350,0.7768552153606643,High Schools (Public),Traditional
6037,0105734,0.24575695858791582,High Schools (Public),Traditional
6046,3330370,0.36400146038700254,High Schools (Public),Traditional
6048,3330636,0.35947712418300654,Alternative Schools of Choice,Alternative School of Choice
6049,3330743,0.3944515306122449,High Schools (Public),Traditional
6070,0100420,0.5153245192307693,High Schools (Public),Traditional
6075,0118794,0.5972894482090997,High Schools (Public),Traditional
6077,3330529,0.4667300380228137,High Schools (Public),Traditional
6094,0109108,0.9159509202453988,High Schools (Public),Traditional
6102,0133306,0.8664440734557596,High Schools (Public),Traditional
6103,3330552,0.8210376011423132,High Schools (Public),Traditional
6127,0105916,0.6783031374281927,High Schools (Public),Traditional
6133,0108753,0.3347791798107255,High Schools (Public),Traditional
6138,0116897,0.3892840208629682,High Schools (Public),Traditional
6144,3430170,0.7848335388409371,High Schools (Public),Traditional
6148,3430477,0.7963073257891602,High Schools (Public),Traditional
6149,3430592,0.5186741363211952,High Schools (Public),Traditional
6150,3430618,0.6148648648648649,High Schools (Public),Traditional
6151,3430873,0.3992452830188679,High Schools (Public),Traditional
6153,3432572,0.4685273159144893,High Schools (Public),Traditional
6200,0113571,0.07295173961840629,High Schools (Public),Traditional
6210,3431533,0.698045267489712,High Schools (Public),Traditional
6211,3433216,0.20992761116856257,High Schools (Public),Traditional
6212,3434792,0.7589285714285714,Continuation High Schools,Continuation School
6243,0119131,0.41268075639599555,High Schools (Public),Traditional
6245,3433471,0.5735140771637122,High Schools (Public),Traditional
6252,4835302,0.7192429022082019,High Schools (Public),Traditional
6261,0137950,0.8900862068965517,K-12 Schools (Public),Traditional
6272,0101881,0.8838709677419355,High Schools (Public),Traditional
6273,0101899,0.5057471264367817,High Schools (Public),Traditional
6274,0101907,0.4368421052631579,High Schools (Public),Traditional
6275,0101972,0.5791245791245792,High Schools (Public),Traditional
6276,0102038,0.7554479418886199,High Schools (Public),Traditional
6279,0108951,0.6282051282051282,High Schools (Public),Traditional
6291,3430865,0.4531422271223815,High Schools (Public),Traditional
6292,3431012,0.7413680781758958,High Schools (Public),Traditional
6293,3434636,0.7752675386444708,High Schools (Public),Traditional
6294,3434768,0.5944309927360775,High Schools (Public),Traditional
6295,3435419,0.5025301673803036,High Schools (Public),Traditional
6362,0135772,0.3978494623655914,Alternative Schools of Choice,Alternative School of Choice
6364,3430048,0.5771812080536913,High Schools (Public),Traditional
6366,3430386,0.43373493975903615,Alternative Schools of Choice,Alternative School of Choice
6368,3430493,0.3563692625064466,High Schools (Public),Traditional
6372,3431111,0.4808695652173913,High Schools (Public),Traditional
6373,3432051,0.5322997416020672,High Schools (Public),Traditional
6374,3432317,0.5456769983686787,High Schools (Public),Traditional
6375,3432838,0.8772845953002611,High Schools (Public),Traditional
6376,3435930,0.627190332326284,High Schools (Public),Traditional
6377,3436714,0.39925965097831834,High Schools (Public),Traditional
6378,3438504,0.6869409660107334,High Schools (Public),Traditional
6433,3430378,0.5251524390243902,High Schools (Public),Traditional
6440,0102236,0.5601640838650866,High Schools (Public),Traditional
6444,0112425,0.3640699523052464,High Schools (Public),Traditional
6452,3430584,0.759723422644771,High Schools (Public),Traditional
6464,0101832,0.7931769722814499,High Schools (Public),Traditional
6471,0130757,0.9736190557500214,K-12 Schools (Public),Traditional
6472,0139584,0.9317524580682476,K-12 Schools (Public),Traditional
6477,3433265,0.9223712067748765,High Schools (Public),Traditional
6478,3433794,0.9129340714645193,High Schools (Public),Traditional
6479,3434370,0.8881748071979434,High Schools (Public),Traditional
6480,3436979,0.8299874529485571,High Schools (Public),Traditional
6514,0132308,0.8666666666666667,County Community,County Community School
6516,3530045,1.0,Juvenile Court Schools,Juvenile Court School
6541,3530060,0.5468164794007491,High Schools (Public),Traditional
6547,0140012,0.7425149700598802,High Schools (Public),Traditional
6588,3630803,0.6765083440308087,High Schools (Public),Traditional
6596,3630290,0.8484848484848485,Continuation High Schools,Continuation School
6611,0126243,0.6236559139784946,Alternative Schools of Choice,Alternative School of Choice
6612,3630225,0.6031014249790444,High Schools (Public),Traditional
6613,3630373,0.544689495066744,High Schools (Public),Traditional
6614,3630571,0.5740453275380316,High Schools (Public),Traditional
6615,3630845,0.85,District Community Day Schools,Community Day School
6616,3631058,0.4371148967017035,High Schools (Public),Traditional
6617,3631157,0.6970128022759602,High Schools (Public),Traditional
6618,3632205,0.8145187080268628,High Schools (Public),Traditional
6619,3633906,0.8330019880715706,High Schools (Public),Traditional
6620,3634482,0.8665997993981945,High Schools (Public),Traditional
6621,3637659,0.8486486486486486,Continuation High Schools,Continuation School
6630,3630035,0.822452229299363,High Schools (Public),Traditional
6631,3630522,0.4675324675324675,High Schools (Public),Traditional
6632,3631017,0.5160116448326055,High Schools (Public),Traditional
6634,3631587,0.9148936170212766,Continuation High Schools,Continuation School
6636,3632502,0.7684159845931632,High Schools (Public),Traditional
6660,0125500,0.7370977534911961,High Schools (Public),Traditional
6662,3631322,0.8723522853957637,High Schools (Public),Traditional
6663,3632742,0.9074609600925391,High Schools (Public),Traditional
6717,0108191,0.7211009174311926,High Schools (Public),Traditional
6720,0120758,0.8487636572742956,High Schools (Public),Traditional
6725,3630555,0.7533333333333333,High Schools (Public),Traditional
6726,3630902,0.8608433734939759,High Schools (Public),Traditional
6727,3633302,0.9530386740331491,High Schools (Public),Traditional
6769,3638616,0.6164383561643836,High Schools (Public),Traditional
6793,3630266,1.0,Continuation High Schools,Continuation School
6794,3634169,0.7732342007434945,High Schools (Public),Traditional
6845,0118802,0.6545023696682465,High Schools (Public),Traditional
6848,3630779,0.608130081300813,High Schools (Public),Traditional
6851,3635042,0.6071265417999087,High Schools (Public),Traditional
6869,0102830,0.7831881086622245,High Schools (Public),Traditional
6873,3630530,0.8888888888888888,Alternative Schools of Choice,Alternative School of Choice
6874,3630597,0.8566526877621045,High Schools (Public),Traditional
6875,3633005,0.8669879518072289,High Schools (Public),Traditional
6901,3635265,0.6104651162790697,High Schools (Public),Traditional
6920,0125450,0.9679558011049724,High Schools (Public),Traditional
6929,0136952,0.8446969696969697,High Schools (Public),Traditional
6935,3631082,0.962481426448737,High Schools (Public),Traditional
6936,3631090,0.9107806691449815,Alternative Schools of Choice,Alternative School of Choice
6937,3632221,0.86608442503639,High Schools (Public),Traditional
6939,3634680,0.9678972712680578,High Schools (Public),Traditional
6940,3635844,0.9625,High Schools (Public),Traditional
6941,3636081,0.9161425576519916,High Schools (Public),Traditional
7016,0125419,0.8615932354250111,High Schools (Public),Traditional
7023,3630787,0.8138568129330254,High Schools (Public),Traditional
7024,3638012,0.9095343680709534,High Schools (Public),Traditional
7034,3633351,0.7477477477477478,Continuation High Schools,Continuation School
7035,3638509,0.5876588021778585,High Schools (Public),Traditional
7042,3630076,0.5483870967741935,High Schools (Public),Traditional
7048,3630274,0.6505102040816326,High Schools (Public),Traditional
7058,3630233,0.5792880258899676,High Schools (Public),Traditional
7081,0119115,0.5388185654008438,High Schools (Public),Traditional
7082,3630407,0.7708939708939709,High Schools (Public),Traditional
7084,3630746,0.7302192564346998,High Schools (Public),Traditional
7103,0136432,0.8744665718349929,High Schools (Public),Traditional
7108,3630563,0.8819875776397516,High Schools (Public),Traditional
7114,3637584,0.6950303897032535,High Schools (Public),Traditional
7132,3630423,0.6635006784260515,High Schools (Public),Traditional
7133,3630894,0.7386934673366834,High Schools (Public),Traditional
7144,0115998,1.0,Juvenile Court Schools,Juvenile Court School
7167,0134890,0.7656135194709772,High Schools (Public),Traditional
7168,3730447,0.9351851851851852,High Schools (Public),Traditional
7256,3731478,0.14614614614614616,High Schools (Public),Traditional
7313,0111195,0.22005988023952097,High Schools (Public),Traditional
7314,0127241,0.7281045751633987,High Schools (Public),Traditional
7316,3730058,0.7323943661971831,High Schools (Public),Traditional
7317,3731023,0.351931330472103,High Schools (Public),Traditional
7319,3732062,0.8272946859903382,High Schools (Public),Traditional
7320,3735313,0.8903803131991052,High Schools (Public),Traditional
7332,3730967,0.7297297297297297,Alternative Schools of Choice,Alternative School of Choice
7333,3732179,0.7177549919050189,High Schools (Public),Traditional
7336,0128793,0.7352941176470589,Special Education Schools (Public),Special Education School
7338,0132548,0.6535433070866141,Alternative Schools of Choice,Alternative School of Choice
7340,3730066,0.6944444444444444,High Schools (Public),Traditional
7341,3730702,0.4267241379310345,High Schools (Public),Traditional
7342,3731262,0.49909008189262966,High Schools (Public),Traditional
7343,3731486,0.6470588235294118,Special Education Schools (Public),Special Education School
7345,3731692,0.8883009994121105,High Schools (Public),Traditional
7346,3731809,0.5215469613259669,High Schools (Public),Traditional
7347,3732336,0.5757185757185758,High Schools (Public),Traditional
7349,3732625,0.6395027624309392,High Schools (Public),Traditional
