,School Code,Percent Eligible FRPM,School Type,Educational Option Type
1975,0111872,0.5791044776119403,Alternative Schools of Choice,Alternative School of Choice
1977,1930213,0.7790387182910548,High Schools (Public),Traditional
1978,1931732,0.743801652892562,Continuation High Schools,Continuation School
1979,1936624,0.6852355072463768,High Schools (Public),Traditional
1980,1937051,0.4217322834645669,High Schools (Public),Traditional
1981,1995398,0.639320029563932,High Schools (Public),Traditional
1982,1995406,0.6629064366290643,High Schools (Public),Traditional
1983,1995844,0.6648065476190477,High Schools (Public),Traditional
1984,1995968,0.6842105263157895,District Community Day Schools,Community Day School
1985,1996537,0.7867950481430537,High Schools (Public),Traditional
1988,1930288,0.25484858795508675,High Schools (Public),Traditional
2000,1930528,0.8931013051584835,High Schools (Public),Traditional
2012,1930601,0.8690476190476191,High Schools (Public),Traditional
2014,1938166,0.8793939393939394,High Schools (Public),Traditional
2015,1996479,0.8584474885844748,High Schools (Public),Traditional
2029,1930700,0.9116465863453815,High Schools (Public),Traditional
2054,1930981,0.30605285592497866,High Schools (Public),Traditional
2062,1931088,0.2564102564102564,High Schools (Public),Traditional
2064,1937739,0.3757085020242915,High Schools (Public),Traditional
2077,0131573,0.30714285714285716,Alternative Schools of Choice,Alternative School of Choice
2078,1931187,0.37362637362637363,High Schools (Public),Traditional
2079,1931237,0.26631625054752517,High Schools (Public),Traditional
2081,1995877,0.45454545454545453,Special Education Schools (Public),Special Education School
2101,0118521,0.7741935483870968,Alternative Schools of Choice,Alternative School of Choice
2102,0128488,0.04462809917355372,High Schools (Public),Traditional
2103,0128496,0.045845272206303724,High Schools (Public),Traditional
2105,1933951,0.8,High Schools (Public),Traditional
2106,1934926,0.7833214540270849,High Schools (Public),Traditional
2107,1935048,0.8324078748107017,High Schools (Public),Traditional
2109,1930312,0.8591549295774648,Continuation High Schools,Continuation School
2110,1931666,0.6949960285941224,High Schools (Public),Traditional
2121,1931823,0.3447941888619855,High Schools (Public),Traditional
2134,1932086,0.7196969696969697,High Schools (Public),Traditional
2135,1936418,0.789093825180433,High Schools (Public),Traditional
2136,1938372,0.6230867346938775,High Schools (Public),Traditional
2150,1932201,0.2524850894632207,High Schools (Public),Traditional
2162,1932441,0.7919032337694396,High Schools (Public),Traditional
2163,1939164,0.7977279024660571,High Schools (Public),Traditional
2184,0134858,0.19507186858316222,High Schools (Public),Traditional
2186,1932482,0.7698412698412699,High Schools (Public),Traditional
2231,1930320,0.8412698412698413,High Schools (Public),Traditional
2232,1932664,0.958062183658713,High Schools (Public),Traditional
2233,1932680,0.9617097061442564,High Schools (Public),Traditional
2234,1937481,0.8580721466587817,High Schools (Public),Traditional
2236,1995661,0.9226666666666666,High Schools (Public),Traditional
2237,1996123,1.0,District Community Day Schools,Community Day School
2241,1932706,0.7388471177944862,High Schools (Public),Traditional
2255,1930353,0.28125,Continuation High Schools,Continuation School
2256,1932763,0.1266233766233766,High Schools (Public),Traditional
2273,1932144,0.32964939024390244,High Schools (Public),Traditional
2275,1933530,0.5498547918683446,High Schools (Public),Traditional
2276,1934082,0.5421383647798742,High Schools (Public),Traditional
2278,1996131,0.46742957746478875,High Schools (Public),Traditional
2306,1933597,0.21217979700338327,High Schools (Public),Traditional
2307,1939677,0.4423076923076923,Continuation High Schools,Continuation School
2319,0100354,0.8306878306878307,High Schools (Public),Traditional
2341,1934231,0.9220607661822986,High Schools (Public),Traditional
2344,1996529,0.8217522658610272,High Schools (Public),Traditional
2345,1996586,0.8986486486486487,High Schools (Public),Traditional
2399,1930080,0.26155646576945585,High Schools (Public),Traditional
2400,1931781,0.24897480960749854,High Schools (Public),Traditional
2414,1996438,0.7581967213114754,High Schools (Public),Traditional
2422,0100602,0.8571428571428571,High Schools (Public),Traditional
2425,1996313,0.9274447949526814,High Schools (Public),Traditional
2445,0127381,0.4032258064516129,High Schools (Public),Traditional
2447,0131938,0.9491525423728814,High Schools (Public),Traditional
2448,0132324,0.26811594202898553,High Schools (Public),Traditional
2450,0135525,0.7588235294117647,High Schools (Public),Traditional
2452,1934470,0.7403169014084507,High Schools (Public),Traditional
2453,1934678,0.5839479392624729,High Schools (Public),Traditional
2454,1935758,0.3248239436619718,High Schools (Public),Traditional
2455,1936947,0.5915167095115681,High Schools (Public),Traditional
2457,1939875,0.5568826515377725,High Schools (Public),Traditional
2458,1995539,0.37444279346210996,High Schools (Public),Traditional
2460,1995935,0.7282082324455206,High Schools (Public),Traditional
2461,1996503,0.5681818181818182,High Schools (Public),Traditional
2529,0100677,0.4723756906077348,High Schools (Public),Traditional
2531,0100750,0.9566115702479339,High Schools (Public),Traditional
2532,0100800,0.8469601677148847,High Schools (Public),Traditional
2534,0101196,0.9648562300319489,High Schools (Public),Traditional
2538,0101659,0.992,High Schools (Public),Traditional
