,SchoolCode,College Going Rate - Total (12 Months)
728,3030053,81.4
729,3031929,83.2
730,3038023,81.5
731,0114736,85.1
732,3036357,69.4
733,0106567,76.9
734,3030608,88.4
735,3030491,60.9
736,3036456,69.8
737,0108365,88.0
738,3030392,87.3
739,3030079,40.8
740,3030061,79.7
741,3030244,80.2
742,3034956,81.4
743,3032109,85.5
744,3037553,73.4
745,0102871,91.0
746,3030285,89.8
747,3030129,52.4
748,3035102,88.5
749,0133405,91.6
750,3030657,86.6
751,3030152,90.0
752,3033917,89.9
753,3130101,*
754,3131851,71.2
755,0138081,29.0
756,3132453,78.8
757,3135704,70.9
758,0102293,58.8
759,3135308,80.4
760,3130184,89.4
761,3130119,51.1
762,0139840,84.2
763,0116459,78.0
764,3130176,83.0
765,3136504,79.3
766,3130010,67.3
767,3138500,75.5
768,0140541,*
769,3134657,69.4
770,0108084,88.6
771,3130150,84.4
772,0100057,*
773,0128777,46.9
774,0125237,56.7
775,0128397,22.5
776,3334299,50.3
777,3330008,55.1
778,0125732,53.2
779,3330479,62.6
780,3331600,55.5
781,0110759,78.8
782,3330701,71.5
783,0110627,69.5
784,3330446,57.7
785,3334232,54.3
786,0118885,66.8
787,3330669,74.5
788,3330388,79.0
789,3333192,63.1
790,0113159,52.9
791,3332673,52.6
792,3330537,55.5
793,0114157,55.6
794,3330412,48.4
795,3337136,48.0
796,3331071,51.8
797,3333770,53.0
798,3330396,50.3
799,3330438,56.2
800,3331014,63.6
801,3330818,51.0
802,3330578,64.9
803,3335130,65.7
804,0127316,63.2
805,3335759,69.1
806,3330727,65.5
807,0113191,53.8
808,0140491,*
809,3335973,47.8
810,3330859,71.2
811,3330024,61.0
812,3334406,58.5
813,3336237,69.0
814,3336492,61.9
815,3337656,56.3
816,3331006,35.9
817,0100255,58.5
818,0121673,70.5
819,3330990,66.7
820,3330487,67.7
821,0107920,48.1
822,3332350,55.5
823,3330370,74.2
824,3330636,41.7
825,0105734,78.0
826,3330743,71.7
827,0100420,68.4
828,3330529,64.4
829,0118794,67.1
830,0133306,55.1
831,3330552,57.3
832,0109108,53.4
833,3432572,81.4
834,3430477,71.2
835,0105916,77.9
836,0108753,87.8
837,3430170,72.3
838,3430873,87.2
839,3430618,77.7
840,3430592,78.6
841,0116897,82.5
842,3431533,65.4
843,3433216,87.3
844,0113571,89.0
845,3434792,18.5
846,3433471,57.5
847,0119131,61.3
848,4835302,56.8
849,0137950,28.3
850,0108951,66.7
851,3430865,95.3
852,0102038,82.8
853,0101907,73.8
854,3435419,82.7
855,3434768,74.2
856,3434636,60.9
857,3431012,63.7
858,0101899,76.9
859,0101881,73.3
860,0101972,70.9
861,3430386,47.7
862,3430493,79.0
863,3435930,77.3
864,3438504,53.7
865,3432317,75.5
866,3432051,75.0
867,3432838,59.2
868,3431111,63.3
869,3436714,89.0
870,3430048,49.7
871,0135772,50.0
872,3430378,62.1
873,0102236,78.6
874,3430584,58.2
875,0112425,87.2
876,3433265,58.0
877,0130757,17.6
878,3433794,57.1
879,3436979,57.3
880,0101832,59.7
881,0139584,21.3
882,3434370,44.7
883,3530045,*
884,3530060,72.2
885,3630803,62.1
886,3630290,2.9
887,3630373,76.2
888,3630571,80.5
889,0126243,76.2
890,3632205,58.9
891,3634482,61.5
892,3633906,64.2
893,3631058,81.4
894,3631157,67.2
895,3630225,76.6
896,3637659,23.3
897,3631017,76.9
898,3632502,55.0
899,3630522,83.3
900,3631587,11.1
901,3630035,64.2
902,3632742,66.2
903,3631322,56.8
904,0125500,54.4
905,0108191,75.3
906,3630902,58.1
907,0120758,65.1
908,3630555,57.8
909,3633302,60.2
910,3638616,47.6
911,3630266,30.8
912,3634169,50.0
913,3630779,70.3
914,0118802,73.4
915,3635042,75.3
916,0102830,62.6
917,3630597,57.3
918,3633005,53.1
919,3630530,24.2
920,3635265,49.1
921,3635844,44.0
