,SchoolCode,CumulativeEnrollment,Total Expulsions,Total Suspensions
430,0122341,268,0,1
431,1932342,133,0,0
432,1932920,1602,1,16
433,0119966,759,0,1
434,1995448,1532,0,0
435,0110668,150,0,0
436,1933241,1488,0,0
437,1931518,73,0,0
438,1939305,911,1,2
439,1931864,2878,1,5
440,1930619,62,0,0
441,1930296,250,0,0
442,0117069,797,0,0
443,1932250,88,0,0
444,0100677,380,0,4
445,1931393,94,0,0
446,1934033,1109,0,7
447,0122358,424,1,3
448,0127787,323,0,0
449,1934157,1605,1,13
450,0101196,341,2,7
451,1931690,164,0,5
452,0141630,78,0,0
453,1931450,113,0,1
454,1933381,2302,1,3
455,1935865,2101,4,5
456,1932334,161,0,3
457,1933118,2089,1,2
458,1939941,2282,1,11
459,1932987,2292,0,14
460,1931971,171,0,0
461,1935568,1958,0,4
462,1930940,145,0,0
463,1934454,940,0,0
464,1933001,1394,1,2
465,0126516,742,0,1
466,0126524,634,0,4
467,0126532,590,0,1
468,0117747,471,1,3
469,1935352,1100,0,5
470,1935519,1135,0,0
471,0126136,561,1,2
472,0122333,538,0,2
473,0137562,393,0,0
474,0109462,1088,0,19
475,0126573,730,1,12
476,0102913,367,0,0
477,1931484,195,0,0
478,1930486,113,0,0
479,1931989,80,0,0
480,1930791,73,1,1
481,1936160,1676,0,1
482,0129585,664,0,4
483,0117911,157,0,0
484,0111484,143,0,0
485,1936350,2578,0,26
486,0107003,931,0,9
487,1931997,167,0,3
488,0106997,661,0,0
489,0101675,544,0,1
490,1931500,118,0,0
491,1995836,2950,0,2
492,0112052,1422,1,3
493,0124511,538,0,0
494,1930650,2549,0,0
495,0107755,973,0,9
496,0124487,520,0,2
497,0124933,214,0,2
498,0122606,467,0,2
499,1930577,152,0,0
500,0119727,1176,0,0
501,1937085,30,0,0
502,0133868,480,0,2
503,1931435,146,0,0
504,1930551,150,1,1
505,1937622,1732,0,7
506,1937838,2528,0,1
507,0109447,1701,1,2
508,0117762,537,1,2
509,0112029,414,0,5
510,0126540,541,0,7
511,1930973,172,0,0
512,0122366,132,0,0
513,0109454,2081,0,1
514,1938307,1796,2,5
515,0112508,582,0,10
516,0125989,606,0,4
517,1931559,166,0,0
518,1932383,1000,2,16
519,0130997,213,0,0
520,1938554,1630,3,11
521,1938612,2351,0,16
522,0129627,442,0,4
523,1937424,1783,0,1
524,1934371,626,0,0
525,1930692,68,0,0
526,1996073,400,0,0
527,1933795,1921,0,21
528,1938885,1477,1,3
529,0137083,117,0,0
530,0137091,134,0,1
531,0132027,521,0,1
532,0124362,803,0,5
533,0137612,287,0,0
534,0127894,534,0,2
535,1938968,2145,0,15
536,1939040,2427,0,1
537,1939107,1243,1,7
538,1930429,37,0,0
539,0126557,446,1,6
540,0100750,497,0,2
541,1939479,634,0,28
542,0114850,1034,1,7
543,1931856,75,0,0
544,1930403,54,0,0
545,1931534,237,0,0
546,0135632,293,0,1
547,1939859,1345,1,1
548,1995794,81,0,0
549,1931682,130,0,0
550,1935436,1995,0,91
551,0109538,1786,0,84
552,1935808,2645,1,39
553,1935923,1498,0,62
554,0124552,315,0,10
555,1930825,2189,0,62
556,1935998,2049,0,98
557,1930155,2225,0,90
558,1933647,958,0,58
559,1934728,1786,0,106
560,1936467,2153,0,42
561,0140889,1069,0,36
562,1996552,1512,0,15
563,1995588,2107,0,25
564,0136705,346,0,10
565,1936749,3617,0,147
566,1936103,1260,0,32
567,1936822,1364,0,30
568,1995901,1619,0,49
569,1933175,988,0,56
570,1933324,1679,0,63
571,1937028,1097,0,42
572,1996495,283,0,5
573,1937143,2993,0,46
574,1937564,2132,1,45
575,1936228,1655,5,116
576,1995810,1481,0,52
577,1937754,908,0,0
578,1995737,402,0,21
579,1933373,51,0,2
580,1938000,2679,0,48
581,1938455,1577,0,49
582,1938679,1822,0,29
583,1936277,1902,1,53
584,1938356,1782,1,49
585,1938752,1978,4,47
586,1939602,1848,3,44
587,1932862,2636,0,23
588,1939149,2198,0,31
589,0122432,767,0,5
590,0137042,274,0,0
591,1939537,1838,0,9
592,1931302,2355,1,76
593,1934868,2454,0,52
594,1936889,1076,1,35
595,1937903,1947,0,66
596,1995653,566,0,6
597,1939701,1742,1,84
598,1996321,386,0,0
599,1931492,2046,1,62
600,0102459,2086,0,82
601,1931740,2394,1,54
602,1995802,2360,1,37
603,0102475,1843,1,29
604,1933902,2042,2,27
605,0131128,558,0,7
606,0119636,547,0,19
607,0119016,553,0,2
608,0125021,178,0,8
609,0117010,279,0,24
610,0100180,21,0,1
611,2032357,1080,1,63
612,0111443,72,0,0
613,2030203,812,0,37
614,2035707,1991,0,101
615,0110965,2012,3,213
616,0139691,2155,9,120
617,0118950,82,0,2
618,2030104,61,0,1
619,2030237,93,0,0
620,2030070,8,0,0
621,2030013,589,0,66
622,2132272,1343,2,78
623,2133056,1290,0,18
624,2133262,1375,4,61
625,2134005,1274,0,73
626,2134310,129,0,8
627,2131340,1150,2,39
628,2132587,1754,0,45
629,2133692,1502,0,43
630,2130078,143,0,0
631,2230100,10,0,1
632,2230076,9,0,6
633,2235356,484,2,105
634,2331361,581,0,46
635,2332260,104,0,8
636,2332724,26,0,0
637,2330207,7,0,0
638,2333185,168,0,4
639,2333649,137,0,13
640,2330041,87,0,4
641,2330033,36,0,0
642,2334563,131,0,20
643,2335024,1850,3,190
644,0136887,97,0,1
645,2335487,426,0,75
646,2430114,756,0,60
647,2431203,683,0,43
648,2430015,97,0,12
649,2431807,544,0,34
650,2432409,723,0,156
651,2433001,516,3,17
652,2434207,1637,5,123
653,0120923,1849,6,178
654,2430163,461,0,7
655,2430601,2167,4,10
656,2430205,1808,4,11
657,0127373,1926,2,14
658,2430098,2072,9,24
659,2430049,202,0,0
660,2433605,1221,4,9
661,2435204,2094,7,13
662,2535409,254,0,5
663,2530020,19,0,2
664,2633006,48,0,2
665,2635001,35,0,0
666,2630010,352,0,12
667,2630028,20,0,13
668,0124990,298,0,0
669,2730414,798,1,10
670,2730885,775,7,111
671,2730265,155,0,2
672,2730117,204,0,3
673,0111435,759,1,58
674,2732808,1453,1,86
675,2735348,1151,4,83
676,2730034,1322,1,117
677,2733657,571,0,7
678,2730109,2872,6,119
679,2730166,2061,5,113
680,2733178,2243,5,53
681,0136697,1698,4,34
682,2734556,2502,3,105
683,2730190,1612,2,170
684,2730174,1340,2,247
685,2732170,1269,0,106
686,0141010,115,1,1
687,2830073,117,0,4
688,0121087,1772,2,70
689,2835601,1695,3,134
690,2830115,382,2,50
691,2830016,1663,4,68
692,2837102,422,0,39
693,0114314,102,0,13
694,2930048,684,4,45
695,2935500,1656,9,85
696,2930030,183,0,3
697,0124834,204,1,34
698,0112367,159,0,0
699,3030228,2869,0,34
700,3030038,2770,0,48
701,3033115,2073,0,54
702,3033057,2443,0,165
703,3033784,1686,0,71
704,3034204,1748,0,62
705,3036712,1594,0,37
706,3038239,1563,0,63
707,3030640,1709,0,64
708,0124131,270,0,0
709,3030210,2038,5,79
710,3030855,1814,4,186
711,3032505,1993,2,84
712,3033362,1983,0,65
713,3030335,360,0,17
714,3037090,1850,1,64
715,3037348,2397,1,51
716,3037496,2540,1,31
717,3030434,1782,0,82
718,3032752,2243,0,117
719,3033578,2104,0,82
720,3033933,1498,0,116
721,3035581,1678,0,32
722,3035706,1569,0,75
723,3036555,1769,1,73
724,3030368,309,0,0
725,3031895,2095,0,38
726,3032158,3243,4,68
727,3032943,2711,1,24
728,3034410,2057,3,80
729,3030145,1201,0,56
730,3038445,2652,5,108
731,3030129,124,1,30
732,3030152,2039,2,34
733,3030657,2319,0,21
734,0133405,2778,0,33
735,3035102,2398,0,30
736,3030285,2304,0,7
737,3033206,834,0,29
738,3033917,2972,0,71
739,3034907,200,1,12
740,0111666,180,0,0
741,3035045,2162,0,39
742,0133983,467,0,6
743,0134841,315,0,4
744,0141978,277,0,2
745,3030046,2257,0,26
746,3031952,1884,0,20
747,3035409,1834,0,109
748,3038098,2137,0,32
749,3031929,2056,0,21
750,3030053,1430,0,9
751,3038023,2499,0,67
752,0119404,1668,0,10
753,3030061,1983,0,13
754,3030244,1357,1,21
755,3034956,1634,3,16
756,3030079,316,4,31
757,3030392,2544,5,39
758,3030491,1607,0,209
759,0114736,1702,0,8
760,3030608,449,0,4
761,0106567,320,0,10
762,3036357,2633,0,191
763,0108365,2421,0,103
764,3036456,2017,0,151
765,0102871,2862,1,72
766,3032109,2183,1,41
767,3037553,1719,1,56
768,3130101,150,0,0
769,3131851,629,1,56
770,3132453,1670,4,58
771,0102293,202,2,18
772,0138081,213,0,1
773,3135704,1327,1,73
774,3130150,1971,0,104
775,0108084,2089,3,106
776,0116459,1887,4,112
777,3130184,2082,0,34
778,3130119,413,0,2
779,3135308,1363,0,66
780,3136504,1540,0,79
781,0139840,2200,2,94
782,3130176,2009,0,94
783,3130010,474,0,2
784,3138500,925,0,31
785,3134657,1242,5,94
786,0140541,1349,1,31
787,0100057,15,0,0
788,0125732,1856,8,59
789,3330008,1623,3,91
790,3334299,1905,11,85
791,3330479,3735,5,72
792,3330990,2437,1,111
793,0100255,1975,2,134
794,0121673,263,0,12
795,3330446,2897,7,106
796,3331600,2471,3,93
797,0110627,4584,4,171
798,0110759,702,0,3
799,3334232,2177,3,99
800,3330701,3737,6,125
801,3333192,2116,3,213
802,3330669,2508,0,102
803,3330388,2165,1,138
804,0118885,1740,0,114
805,3332673,2613,3,148
806,0113159,1954,4,33
807,3330537,2049,1,58
808,3330412,1818,2,27
809,0114157,2530,7,112
810,3337136,1372,10,58
811,3332350,2061,0,144
812,0107920,1802,3,58
813,3330487,2481,10,110
814,3330396,2441,2,70
815,3333770,2329,0,117
816,3330438,2896,0,1
817,3331071,2128,0,30
818,0118794,2164,0,26
819,3330529,2188,5,58
820,0100420,3469,0,116
821,3331014,702,0,12
822,3330578,1412,1,105
823,3330818,1848,6,145
824,3335130,1581,0,72
825,0127316,1513,0,137
826,3335759,779,4,99
827,0113191,2548,6,90
828,0140491,2630,3,53
829,3330727,2692,5,95
830,3335973,2386,11,75
831,0128397,914,0,0
832,0128777,532,0,4
833,0125237,156,0,56
834,3330024,2032,6,106
835,3334406,2163,14,198
836,3330859,2802,6,111
837,3336237,2646,12,174
838,3336492,2263,3,142
839,3331006,221,0,0
840,3337656,2672,4,130
841,3330743,3265,3,106
842,0105734,3063,0,92
843,3330636,503,0,2
844,3330370,2867,2,71
845,0109108,1733,0,151
846,0133306,2573,5,174
847,3330552,2220,0,96
848,3430378,1421,3,172
849,0116897,2195,0,124
850,3432572,1782,3,166
851,3430477,1838,2,219
852,3430873,2748,0,178
853,3430592,2269,4,142
854,0105916,2390,2,158
855,0108753,2600,3,116
856,3430618,2546,3,209
857,3430170,1804,2,255
858,3431533,2162,0,148
859,3433216,3015,2,77
860,3434792,191,1,36
861,0113571,1818,0,33
862,3433471,998,5,33
863,0119131,935,1,23
864,0102236,2378,7,105
865,3430584,1274,1,163
866,0112425,635,0,2
867,4835302,358,1,29
868,0137950,750,0,0
869,0108951,169,0,9
870,3435419,2764,4,250
871,0101899,180,0,8
872,3434636,1935,2,310
873,3434768,1782,0,284
874,3431012,1737,0,246
875,0101972,1646,0,569
876,0102038,460,1,150
877,0101881,165,0,19
878,0101907,219,0,0
879,3430865,916,0,11
880,3430493,2025,0,109
881,3431111,1212,0,74
882,3432051,1657,1,81
883,3432317,1306,1,110
884,3430386,295,0,3
885,3432838,930,0,169
886,0135772,104,0,3
887,3430048,971,1,223
888,3435930,1796,1,208
889,3436714,1983,0,130
890,3438504,695,2,98
891,0139584,3560,0,0
892,3433265,1603,4,140
893,0101832,525,0,33
894,3433794,2230,9,202
895,0130757,18824,0,0
896,3434370,845,4,116
897,3436979,1728,8,172
898,3530060,275,0,17
899,0132308,30,0,8
900,3530045,26,0,0
901,3630423,2348,9,179
902,3630894,1970,18,237
903,3630076,32,0,5
904,3630803,1800,0,352
905,3630290,73,1,4
906,3630225,2578,2,112
907,3630845,38,0,11
908,0126243,117,0,0
909,3632205,3445,9,275
910,3631157,2345,0,138
911,3630373,3684,2,131
912,3631058,2894,1,127
913,3633906,2811,7,194
914,3634482,2196,1,84
915,3630571,3481,8,203
916,3637659,611,1,34
917,3631587,144,0,2
918,3632502,2214,13,91
919,3631017,2913,9,76
920,3630035,1345,5,107
921,3630522,2606,2,50
922,3631322,2084,1,103
923,3632742,1990,4,139
924,0125500,1885,3,102
925,3630555,2132,3,76
926,3633302,2713,1,68
927,3630902,1755,0,73
928,0120758,1893,2,96
929,0108191,2864,3,169
930,3630407,2707,12,230
931,0119115,2619,4,174
932,3630746,2312,8,173
933,0136432,4406,0,4
934,3630563,355,0,61
935,3638616,1265,6,281
936,3630266,26,0,1
937,3634169,296,0,29
938,0118802,2245,0,68
939,3630779,1993,0,128
940,3635042,2348,0,88
941,3633005,2280,3,93
942,3630597,2797,2,85
943,0102830,2096,2,147
944,3630530,152,0,0
945,3635265,914,0,53
946,3631082,2954,3,186
947,3632221,2972,11,189
948,0136952,625,7,109
949,0125450,2084,3,130
950,3631090,275,0,2
951,3634680,1425,8,134
952,3635844,1654,0,144
953,3636081,1621,1,143
954,0140012,601,1,87
955,3630274,432,0,28
956,3630233,2472,23,243
957,3637584,2978,1,83
958,0125419,2610,1,166
959,3630787,2543,0,108
960,3638012,2679,0,113
961,3633351,170,0,9
962,3638509,2866,10,186
963,0129320,364,0,27
964,3730447,112,0,7
965,0134890,4371,0,1
966,3730694,2392,0,53
967,3731163,53,0,0
968,0127423,1312,0,26
969,3731478,1021,0,21
970,0111195,1369,0,5
971,0127241,776,4,26
972,3731023,947,0,10
973,3732062,1752,1,151
974,3735313,1921,4,124
975,3730058,1928,1,43
976,3732179,1947,6,115
977,3730967,109,0,0
978,3731692,1916,6,200
979,3731809,1887,2,70
980,3731486,36,0,3
981,3732336,2432,0,66
982,3732625,2307,4,111
983,3732732,2606,2,59
984,0132548,191,2,12
985,0128793,87,0,32
986,3734548,1646,0,85
987,3734761,1678,2,108
988,3731262,2228,1,37
989,3730066,1810,1,66
990,3730702,1669,1,60
991,3733219,129,0,15
992,3734878,449,0,69
993,0123224,516,0,0
994,3739018,2556,0,86
995,3735206,2068,4,77
996,0118935,2596,0,22
997,3730074,1834,0,56
998,3735867,2159,0,45
999,3730819,2263,0,27
1000,3731528,2142,0,27
1001,3735974,1455,0,68
1002,0115998,47,0,11
1003,3730173,1246,0,56
1004,3731213,869,0,27
1005,0107177,1455,0,92
1006,0127647,384,1,55
1007,0118315,142,0,0
1008,3737962,308,0,0
1009,0114462,580,0,2
1010,3732781,2564,4,133
1011,3731247,422,0,7
1012,0106732,364,0,7
1013,0108787,375,0,18
1014,3732997,2172,2,91
1015,0107094,358,0,3
1016,0107078,378,0,6
1017,0107102,318,0,8
1018,0107086,336,0,0
1019,0118851,241,0,17
1020,3733508,1202,0,22
1021,0114025,1636,3,108
1022,3733698,816,0,27
1023,3730181,2312,0,38
1024,3734431,1276,0,55
1025,3734654,1687,0,82
1026,3735750,1779,1,50
1027,0107219,1739,0,9
1028,0107482,126,0,2
1029,0122788,257,0,9
1030,3730884,1938,0,29
1031,3730231,532,1,6
1032,3730314,1523,0,31
1033,0106328,2161,0,10
1034,3731007,1813,0,26
1035,3737418,1863,0,23
1036,3737384,124,0,3
1037,3730033,2638,0,52
1038,0105726,2826,2,71
1039,3737632,3155,12,156
1040,0114678,638,0,17
1041,0137067,440,0,3
1042,0114694,418,0,10
1043,0125401,425,0,0
1044,3730405,2104,0,84
1045,3730801,1496,0,82
1046,3731064,2023,1,57
