Name,Ranking,City,School District,Graduation Rate,College Readiness,Enrollment
Alliance Morgan McKinzie High School,#311,Los Angeles,Alliance Morgan Mckinzie High District,93%,41.7,470
Holtville High School,#312,Holtville,Holtville Unified School District,98%,46.4,532
Glendora High School,#313,Glendora,Glendora Unified School District,98%,34.4,2151
Ednovate - Legacy College Prep.,#314,Santa Ana,Ednovate - Legacy College Prep. District,99%,52.4,421
Magnolia Science Academy Santa Ana,#315,Santa Ana,Magnolia Science Academy Santa Ana District,100%,29.8,173
Verdugo Hills Senior High School,#316,Tujunga,Los Angeles Unified School District,94%,36.5,1198
Vaughn Next Century Learning Center,#317,San Fernando,Vaughn Next Century Learning Center District,98%,24.0,714
Maria Carrillo High School,#318,Santa Rosa,Santa Rosa High,89%,45.9,1585
San Marcos High School,#319,San Marcos,San Marcos Unified School District,96%,51.6,3201
James A. Garfield Senior High School,#320,Los Angeles,Los Angeles Unified School District,96%,35.4,2223
